# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
肉排	roupai
八寶鴨	babaoya
無酵餅	wujiaobing
德式烤豬腳	deshikaozhujiao
玉米澱粉	yumidianfen
蘭開夏芝士	lankaixiazhishi
蚵炱	hetai
食藥同源	shiyaotongyuan
甜品	tianpin
杨凌蘸水面	yanglingzhanshuimian
法國蝸牛	faguowoniu
食人	shiren
瓦達	wada
可口可樂教令	kekoukelejiaoling
千張	qianzhang
紅燒乳鴿	hongshaoruge
龙眼	longyan
茄	jia
食品工程	shipingongcheng
清真認證	qingzhenrenzheng
海鮮熟成	haixianshucheng
肉臊	rousao
增味剂	zengweiji
發糕	fagao
杭白菊	hangbaiju
果糖	guotang
起司濃湯	qisinongtang
澳洲土著麵包	aozhoutuzhumianbao
阿萨伊碗	asayiwan
菜脯卵	caipuluan
木糠布甸	mukangbudian
預製菜	yuzhicai
夏桑菊	xiasangju
吐司	tusi
牛肉粉丝汤	niuroufensitang
炸牛排	zhaniupai
泡菜	paocai
梳芙厘	shufuli
水果	shuiguo
葡萄酒内酯	putaojiuneizhi
蜂蜜棒	fengmibang
葱花肉	conghuarou
銀菊露	yinjulu
納豆	nadou
直通粉	zhitongfen
烏爾達	wuerda
仁当	rendang
烏克蘭餃子	wukelanjiaozi
咖哩牛腩	kaliniunan
集约化畜牧业	jiyuehuachumuye
西加鱼毒中毒	xijiayuduzhongdu
絞肉	jiaorou
甘草次酸	gancaocisuan
北極蛤	beijiha
蛇肉	sherou
中華丼	zhonghuajing
燒烤	shaokao
果醬	guojiang
卡歇爾藍芝士	kaxieerlanzhishi
火雞	huoji
義大利式烤肉	yidalishikaorou
鮮竹卷	xianzhujuan
冰淇淋駁船	bingqilinbochuan
波拉尼	bolani
基夫利面包	jifulimianbao
女王扇貝	nvwangshanbei
咖啡牛奶	kafeiniunai
肉骨粉	rougufen
土笋冻	tusundong
鹰嘴豆粉	yingzuidoufen
鹽焗鵪鶉蛋	yanjuanchundan
熊掌	xiongzhang
黑森林蛋糕	heisenlindangao
泡椒	paojiao
炸糖漿甜麵圈	zhatangjiangtianmianquan
番茄殺手	fanjiashashou
巴巴加努吉	babajianuji
麦芽糖	maiyatang
醋	cu
意大利麵	yidalimian
木棉	mumian
幸运饼干	xingyunbinggan
越南粉	yuenanfen
酸汤子	suantangzi
魚台	yutai
烤麵餅	kaomianbing
西西里飲食	xixiliyinshi
撻	ta
穀物片	guwupian
鴨掌包	yazhangbao
炻器	shiqi
班諾克麵包	bannuokemianbao
卡爾佐內	kaerzuonei
綠豆煎	lvdoujian
满洲汤	manzhoutang
南瓜	nangua
意式海鲜汤	yishihaixiantang
璞穀塘	pugutang
紅燒鰻	hongshaoman
阿基師	ajishi
红烧牛肉	hongshaoniurou
糊精	hujing
厚壳贻贝	houkeyibei
古拉什	gulashen
馬薩拉茶	masalacha
青红丝	qinghongsi
部隊鍋	buduiguo
二甲基甘胺酸	erjiajiganansuan
法国砂锅	faguoshaguo
椒	jiao
廿四味	niansiwei
茶叶拌豆	chayebandou
萊克多巴胺	laikeduobaan
茶炊	chachui
擺盤	baipan
燜燒杯	menshaobei
多羅千卡	duoluoqianka
秘鲁中餐	miluzhongcan
燙麵	tangmian
菠菠粿	boboguo
麻什	mashen
鸡蛋糕	jidangao
麻酱烧饼	majiangshaobing
梅澤	meize
蒸	zheng
多糖胶	duotangjiao
偶氮甲酰胺	oudanjiaxianan
蛋清羊尾	danqingyangwei
西式牛尾湯	xishiniuweitang
汽锅鸡	qiguoji
魚乾	yuqian
豆沙	dousha
乾魷魚	qianyouyu
生汆丸子	shengcuanwanzi
茅屋起司	maowuqisi
海鮮雀巢	haixianquechao
泰國酸肉	taiguosuanrou
波蘭香腸	bolanxiangchang
花卷	huajuan
薑汁燒肉	jiangzhishaorou
笨蛋面	bendanmian
法國烹飪經典	faguopengrenjingdian
植物奶	zhiwunai
法兰克福厨房	falankefuchufang
牧羊人派	muyangrenpai
凉拌	liangban
迴轉壽司	huizhuanshousi
薯角	shujiao
调和油	diaoheyou
鰾	biao
青木瓜沙拉	qingmuguashala
印度扁豆湯	yindubiandoutang
漏斗糕	loudougao
鳴門卷	mingmenjuan
河南蒸菜	henanzhengcai
索夫利特酱	suofulitejiang
油炸	youzha
翠玉瓜麵	cuiyuguamian
冬菜	dongcai
鹼水麵	jianshuimian
檬粉	mengfen
微波爐便當	weibolubiandang
狗干粮	gouganliang
番膏	fangao
開罐器	kaiguanqi
費氏丙酸桿菌	feishibingsuanganjun
地獄廚房	diyuchufang
焦糖酱布丁	jiaotangjiangbuding
馓子	sanzi
拿坡里披薩	napolipisa
藍乾酪	lanqianlao
椒鹽卷餅	jiaoyanjuanbing
日式叉燒	rishichashao
蟹黄	xiehuang
涼茶	liangcha
郫县豆瓣	pixiandouban
至尊漢堡	zhizunhanbao
血豆腐	xiedoufu
魚卵飯	yuluanfan
蛋捲冰淇淋	danjuanbingqilin
奶油攪拌器	naiyoujiaobanqi
出前一丁	chuqianyiding
自助餐	zizhucan
炸蜘蛛	zhazhizhu
象肉	xiangrou
水果凝乳	shuiguoningru
金山火蒜	jinshanhuosuan
豆苗餃	doumiaojiao
阿拉伯膠	alabojiao
虎咬狮	huyaoshi
燜燒鍋	menshaoguo
燒酒螺	shaojiuluo
福山燒豬	fushanshaozhu
香蕉面包	xiangjiaomianbao
北菇滑雞飯	beiguhuajifan
鼎湖上素	dinghushangsu
炒飯	chaofan
盥洗盆	guanxipen
豆类	doulei
单面三明治	danmiansanmingzhi
年輪蛋糕	nianlundangao
龍捲風洋芋片	longjuanfengyangyupian
自由斟	ziyouzhen
炒驯鹿肉	chaoxunlurou
意大利粉列表	yidalifenliebiao
燒尾宴食單	shaoweiyanshidan
汁粉	zhifen
撈丁	laoding
軟質棕櫚油	ruanzhizonglvyou
蝦腰麵	xiayaomian
覆盆子酮	fupenzitong
药念	yaonian
美式義大利菜	meishiyidalicai
奄仔蟹	yanzaixie
敦	dun
惡魔果實	emoguoshi
肉鬆	rousong
炒泡麵	chaopaomian
面条	miantiao
丼物	jingwu
竹筍里	zhusunli
杯墊	beidian
王老吉涼茶	wanglaojiliangcha
窩夫烤模	wofukaomo
蔥餅	congbing
磨刀石	modaoshi
