# 泰深输入法专业词库 — 动物
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
中华枝睾吸虫	zhonghuazhigaoxichong
中华栉孔鰕虎鱼	zhonghuazhikongxiahuyu
中华桃花水母	zhonghuataohuashuimu
中华植盲蝽	zhonghuazhimangchun
中华正形贝	zhonghuazhengxingbei
中华正形贝属	zhonghuazhengxingbeishu
中华毛个木虱	zhonghuamaogemushi
中华毛刺蟹	zhonghuamaocixie
中华毛肖叶甲	zhonghuamaoxiaoyejia
中华沙蟹	zhonghuashaxie
中华沟臀肖叶甲	zhonghuagoutunxiaoyejia
中华波纹蛾	zhonghuabowene
中华波缘龟甲	zhonghuaboyuanguijia
中华泥毛蟹	zhonghuanimaoxie
中华浅沟叶蜂	zhonghuaqiangouyefeng
中华浅鳃虱	zhonghuaqiansaishi
中华海花蝇	zhonghuahaihuaying
中华深山天牛	zhonghuashenshantianniu
中华游荡棘蝇	zhonghuayoudangjiying
中华熊猫猪	zhonghuaxiongmaozhu
中华爱灰蝶	zhonghuaaihuidie
中华犁沟茧蜂	zhonghualigoujianfeng
中华犬	zhonghuaquan
中华玉米卷管螺	zhonghuayumijuanguanluo
中华珈蟌	zhonghuajiacong
中华球肖叶甲	zhonghuaqiuxiaoyejia
中华田原犬	zhonghuatianyuanquan
中华田园猫	zhonghuatianyuanmao
中华白裙弄蝶	zhonghuabaiqunnongdie
中华直赛茧蜂	zhonghuazhisaijianfeng
中华眉眼蝶	zhonghuameiyandie
中华真地鳖	zhonghuazhendibie
中华矍眼蝶	zhonghuajueyandie
中华矮隆哲水蚤	zhonghuaailongzheshuizao
中华秃角蝉	zhonghuatujiaochan
中华空棘鱼	zhonghuakongjiyu
中华突眼木蜂	zhonghuatuyanmufeng
中华窄腹剑水蚤	zhonghuazhaifujianshuizao
中华窄腹水蚤	zhonghuazhaifushuizao
中华粘体虫	zhonghuazhantichong
中华粘体虫病	zhonghuazhantichongbing
中华红林蚁	zhonghuahonglinyi
中华纹胸鮡	zhonghuawenxiongzhao
中华纺锤水蚤	zhonghuafangchuishuizao
中华细指海葵	zhonghuaxizhihaikui
中华绒木蜂	zhonghuarongmufeng
中华绿蝇	zhonghualvying
中华缺翅虫	zhonghuaquechichong
中华缺鞭米虾	zhonghuaquebianmixia
中华肖峭	zhonghuaxiaoqiao
中华胸刺水蚤	zhonghuaxiongcishuizao
中华芒角臭虻	zhonghuamangjiaochoumeng
中华茧蜂	zhonghuajianfeng
中华萝蘑肖叶甲	zhonghualuomoxiaoyejia
中华蛇带绦虫	zhonghuashedaitaochong
中华蜜蜂	zhonghuamifeng
中华蜡天牛	zhonghualatianniu
中华螳小蜂	zhonghuatangxiaofeng
中华螳蝎	zhonghuatangxie
中华螳蝎蝽	zhonghuatangxiechun
中华蟹守螺	zhonghuaxieshouluo
中华褐弄蝶	zhonghuahenongdie
中华角伪叶甲	zhonghuajiaoweiyejia
中华赢蛩螽	zhonghuayingqiongzhong
中华近方蟹	zhonghuajinfangxie
中华近褶缘露螽	zhonghuajinzheyuanluzhong
中华金星步甲	zhonghuajinxingbujia
中华钝唇姬蜂	zhonghuadunchunjifeng
中华钝牙鰕虎鱼	zhonghuadunyaxiahuyu
中华锹甲	zhonghuaqiaojia
中华长文蛤	zhonghuazhangwenge
中华长臀鮠	zhonghuazhangtunwei
中华阔红萤	zhonghuakuohongying
中华阿萤叶甲	zhonghuaayingyejia
中华霍氏虫	zhonghuahuoshichong
中华露螽	zhonghualuzhong
中华革囊星虫	zhonghuagenangxingchong
中华食植瓢虫	zhonghuashizhipiaochong
中华马加鰆	zhonghuamajiachun
中华高冠角蝉	zhonghuagaoguanjiaochan
中华鬼鮋	zhonghuaguiyou
中华鮡	zhonghuazhao
中华鰆	zhonghuachun
中华鰟鮍	zhonghuafangpi
中华鱵	zhonghuazhen
中华鳞舌杜父鱼	zhonghualinshedufuyu
中华鹿蛾	zhonghualue
中华黏盲鳗	zhonghuanianmangman
中华齿角叶蜂	zhonghuachijiaoyefeng
中华龟	zhonghuagui
中叶米虾	zhongyemixia
中唇裂腹鱼	zhongchunliefuyu
中国丽木虱	zhongguolimushi
中国五花文鱼	zhongguowuhuawenyu
中国兔猴	zhongguotuhou
中国内陆溪蟹	zhongguoneiluxixie
中国军用鸽	zhongguojunyongge
中国冠毛犬	zhongguoguanmaoquan
中国冠毛犬犬	zhongguoguanmaoquanquan
中国切叶蜂	zhongguoqieyefeng
中国动物资源	zhongguodongwuziyuan
中国华绿露螽	zhongguohualvluzhong
中国华肉伪蝎	zhongguohuarouweixie
中国单色虾虎鱼	zhongguodansexiahuyu
中国双七瓢虫	zhongguoshuangqipiaochong
中国双眼钩虾	zhongguoshuangyangouxia
中国古生物化石	zhongguogushengwuhuashi
中国台湾猴	zhongguotaiwanhou
中国后星尺蛾	zhongguohouxingchie
中国喇叭水母	zhongguolabashuimu
中国喜沼小蜉琥珀	zhongguoxizhaoxiaofuhupo
中国四大名鱼	zhongguosidamingyu
中国圆田螺	zhongguoyuantianluo
中国圆胸花萤	zhongguoyuanxionghuaying
中国大白猫	zhongguodabaimao
中国宽尾凤蝶	zhongguokuanweifengdie
中国小樱蛤	zhongguoxiaoyingha
中国小蛙蟹	zhongguoxiaowaxie
中国小铃螺	zhongguoxiaolingluo
中国小鲵	zhongguoxiaoni
中国尖嵴蚌	zhongguojianjibang
中国山窗萤	zhongguoshanchuangying
中国平胸龟	zhongguopingxionggui
中国扇贝	zhongguoshanbei
中国拟关公蟹	zhongguoniguangongxie
中国拟厚盲蝽	zhongguonihoumangchun
中国拟窄糠虾	zhongguonizhaikangxia
中国斗犬	zhongguodouquan
中国无名木蝎	zhongguowumingmuxie
中国昆仑山脉犬	zhongguokunlunshanmaiquan
中国曲胫步甲	zhongguoqujingbujia
中国杓蛤	zhongguobiaoha
中国束长蝽	zhongguoshuzhangchun
中国枪乌贼	zhongguoqiangwuzei
中国枪乌贼鱼	zhongguoqiangwuzeiyu
中国棘缘吸虫	zhongguojiyuanxichong
中国毛虾	zhongguomaoxia
中国毛足蜂	zhongguomaozufeng
中国水产贸易	zhongguoshuichanmaoyi
中国水牛	zhongguoshuiniu
中国水鹿	zhongguoshuilu
中国渔业经济	zhongguoyuyejingji
中国点子鸽	zhongguodianzige
中国爬行动物图鉴	zhongguopaxingdongwutujian
中国物种红色名录	zhongguowuzhonghongseminglu
中国犀	zhongguoxi
中国犀牛	zhongguoxiniu
中国狮子狗	zhongguoshizigou
中国猫	zhongguomao
中国环颈雉鸡	zhongguohuanjingzhiji
中国珍珠贝	zhongguozhenzhubei
中国白臀叶猴	zhongguobaitunyehou
中国突眼蝇	zhongguotuyanying
中国筒胸肖叶甲	zhongguotongxiongxiaoyejia
中国粘体虫	zhongguozhantichong
中国粘盲鳗	zhongguozhanmangman
中国紫蛤	zhongguoziha
中国紫边尺蛾	zhongguozibianchie
中国美利努	zhongguomeilinu
中国美利奴羊	zhongguomeilinuyang
中国美妙蟹	zhongguomeimiaoxie
中国肩盲蝽	zhongguojianmangchun
中国脩目昆虫	zhongguoxiumukunchong
中国芦蜂	zhongguolufeng
中国荷斯坦奶牛	zhongguohesitannainiu
中国角瓣舟蛾	zhongguojiaobanzhoue
中国豹纹守宫	zhongguobaowenshougong
中国野兔	zhongguoyetu
中国长毛狼犬	zhongguochangmaolangquan
中国闽南牛	zhongguominnanniu
中国青猫鸽	zhongguoqingmaoge
中国鸟	zhongguoniao
中国鸟类野外手册	zhongguoniaoleiyewaishouce
中国鸡冠犬	zhongguojiguanquan
中国黄点鯆	zhongguohuangdianpu
中国黄肖叶甲	zhongguohuangxiaoyejia
中地蜂	zhongdifeng
中坊粗棘蜥	zhongfangcujixi
中型德国狐狸犬	zhongxingdeguohuliquan
中型角杯水母	zhongxingjiaobeishuimu
中外名犬邮票	zhongwaimingquanyoupiao
中大猪浓缩料	zhongdazhunongsuoliao
中宽雏蝗	zhongkuanchuhuang
中带三角夜蛾	zhongdaisanjiaoyee
中带番郭公虫	zhongdaifanguogongchong
中带薄夜蛾	zhongdaibaoyee
中庸离脉纹石蛾	zhongyonglimaiwenshie
中建刺星珊瑚	zhongjiancixingshanhu
中形仿蛙蟹	zhongxingfangwaxie
中影单跗夜蛾	zhongyingdanfuyee
中斑似虹锦鱼	zhongbanshihongjinyu
中斑啄木鸟	zhongbanzhuomuniao
中斑瘦粉蝇	zhongbanshoufenying
中方虫	zhongfangchong
中日水杨梅	zhongrishuiyangmei
中朝鮠	zhongchaowei
中村锯天牛	zhongcunjutianniu
中杜鹃	zhongdujuan
中柄虫属	zhongbingchongshu
中棘鱼棘鲈	zhongjiyujilu
中棘鲶盘虫	zhongjinianpanchong
中欧山松大小蠹	zhongoushansongdaxiaodu
中河低线鱲	zhonghedixianlie
中海蕾	zhonghailei
中澳硬头鱼	zhongaoyingtouyu
中澳粗尾鼠	zhongaocuweishu
中灰舟蛾	zhonghuizhoue
中点伊蚊	zhongdianyiwen
中爪兽目	zhongzhaoshoumu
中猴	zhonghou
中生代哺乳动物	zhongshengdaiburudongwu
中生代植物区系	zhongshengdaizhiwuquxi
中甸叶须鱼	zhongdianyexuyu
中甸叶须鱼中甸	zhongdianyexuyuzhongdian
中甸无齿角蝉	zhongdianwuchijiaochan
中甸牦牛	zhongdianmaoniu
中甸重唇鱼	zhongdianzhongchunyu
中甸马	zhongdianma
中白拟纷舟蛾	zhongbainifenzhoue
中白荷包鱼	zhongbaihebaoyu
中白鹭	zhongbailu
中稻缘蝽	zhongdaoyuanchun
中空器官动物	zhongkongqiguandongwu
中空穿贝海绵	zhongkongchuanbeihaimian
中等东方石炭兽	zhongdengdongfangshitanshou
中红丽盲蝽	zhonghonglimangchun
中红侧沟茧蜂	zhonghongcegoujianfeng
中约克夏猪	zhongyuekexiazhu
中缢虫蝘蜓	zhongyichongyanting
中美毛臀刺鼠	zhongmeimaotuncishu
中美河龟	zhongmeihegui
中美洲河龟	zhongmeizhouhegui
中耳哺乳比翼线虫	zhongerburubiyixianchong
中胸背侧区	zhongxiongbeicequ
中腹片	zhongfupian
中腹足目	zhongfuzumu
中菊头蝠	zhongjutoufu
中華寶螺	zhonghuabaoluo
中華海兔螺	zhonghuahaituluo
中角鮟鱇	zhongjiaoankang
中角鮟鱇科	zhongjiaoankangke
中部鬃狮蜥	zhongbuzongshixi
中金夜蛾	zhongjinyee
中金弧夜蛾	zhongjinhuyee
中长真巨口鱼	zhongchangzhenjukouyu
