# 泰深输入法专业词库 — 计算机/IT
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
光照模型	guangzhaomoxing
光线投射	guangxiantoushe
光线跟踪	guangxiangenzong
光线追踪	guangxianzhuizong
克林闭包	kelinbibao
免安装	miananzhuang
免密码	mianmima
免密码登录	mianmimadenglu
免登陆	miandenglu
免证书	mianzhengshu
免费图标	mianfeitubiao
免费短信	mianfeiduanxin
入事件	rushijian
入侵检测	ruqinjiance
入栈	ruzhan
全不选	quanbuxuan
全双工传输	quanshuanggongchuanshu
全局事务	quanjushiwu
全局优化	quanjuyouhua
全局共享资源	quanjugongxiangziyuan
全局函数	quanjuhanshu
全局存储器	quanjucunchuqi
全局对象	quanjuduixiang
全局应用	quanjuyingyong
全局搜索	quanjusousuo
全局故障	quanjuguzhang
全局查询	quanjuchaxun
全局设置	quanjushezhi
全屏截图	quanpingjietu
全屏显示	quanpingxianshi
全排列	quanpailie
全排列算法	quanpailiesuanfa
全排序	quanpaixu
全文搜索	quanwensousuo
全景教程	quanjingjiaocheng
全景漫游	quanjingmanyou
全景视频	quanjingshipin
全期望公式	quanqiwanggongshi
全栈工程师	quanzhangongchengshi
全球地址	quanqiudizhi
全相联映射	quanxianglianyingshe
全称域名	quanchengyuming
全连接	quanlianjie
全选反选	quanxuanfanxuan
全部刷新	quanbushuaxin
全限定域名	quanxiandingyuming
八大排序算法	badapaixusuanfa
八数码	bashuma
八数码问题	bashumawenti
八皇后	bahuanghou
八进制数字	bajinzhishuzi
公众号	gongzhonghao
公众号开发	gongzhonghaokaifa
公众平台	gongzhongpingtai
公共事件	gonggongshijian
公共信息模型	gonggongxinximoxing
公共域	gonggongyu
公共子串	gonggongzichuan
公共子序列	gonggongzixulie
公共总线	gonggongzongxian
公共模数	gonggongmoshu
公共网关接口	gonggongwangguanjiekou
公共节点	gonggongjiedian
公共语言	gonggongyuyan
公共语言规范	gonggongyuyanguifan
