# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
通用编程语言	tongyongbianchengyuyan
阿基纳多	ajinaduo
诺谟图	nuomotu
代码混淆	daimahunxiao
人工智慧藝術	rengongzhihuiyishu
語意分析	yuyifenxi
函式庫	hanshiku
显示卡	xianshika
秦九韶算法	qinjiushaosuanfa
变换矩阵	bianhuanjuzhen
量子体积	liangzitiji
電腦情人夢	diannaoqingrenmeng
巨集	juji
終端	zhongduan
互斥关系	huchiguanxi
多数逻辑解码	duoshuluojijiema
端到端原則	duandaoduanyuanze
性能分析	xingnengfenxi
纹素	wensu
软件引擎	ruanjianyinqing
面向特征编程	mianxiangtezhengbiancheng
暂定名称	zandingmingcheng
交叉熵	jiaochashang
蝙蝠算法	bianfusuanfa
計算社會科學	jisuanshehuikexue
自由浏览	ziyouliulan
形式语言	xingshiyuyan
云闪付	yunshanfu
藍腦計畫	lannaojihua
航空电子	hangkongdianzi
张晖	zhanghui
动态数组	dongtaishuzu
树旋转	shuxuanzhuan
费希尔信息	feixierxinxi
双端队列	shuangduanduilie
无头软件	wutouruanjian
操作系统	caozuoxitong
远隔作用	yuangezuoyong
殭屍網絡	jiangshiwangluo
文本挖掘	wenbenwajue
地球模拟器	diqiumoniqi
协变与逆变	xiebianyunibian
沃森	wosen
填充率	tianchonglv
沙赫德无人机	shahedewurenji
失效停止	shixiaotingzhi
汉明码	hanmingma
抽象倒置	chouxiangdaozhi
萊文斯坦距離	laiwensitanjuli
代码膨胀	daimapengzhang
合一	heyi
算法竞赛	suanfajingsai
异常	yichang
信息可视化	xinxikeshihua
图论	tulun
姚期智	yaoqizhi
视口	shikou
轉速表	zhuansubiao
企业资源计划	qiyeziyuanjihua
序列化	xuliehua
光線追蹤	guangxianzhuizong
分子图形学	fenzituxingxue
库普曼斯定理	kupumansidingli
鸿蒙操作系统	hongmengcaozuoxitong
并发计算	bingfajisuan
截尾函數	jieweihanshu
栅格化	zhagehua
信息安全	xinxianquan
遗传算法	yichuansuanfa
掌控板	zhangkongban
明信片软件	mingxinpianruanjian
开源人工智能	kaiyuanrengongzhineng
反射式编程	fansheshibiancheng
质量加权坐标	zhiliangjiaquanzuobiao
虛設代碼	xushedaima
接收器	jieshouqi
銃夢	chongmeng
函数重载	hanshuzhongzai
鑄造模擬軟體	zhuzaomoniruanti
神经图灵机	shenjingtulingji
廣告軟體	guanggaoruanti
堆栈	duizhan
电子艺术大奖	dianziyishudajiang
树同构	shutonggou
对象生命周期	duixiangshengmingzhouqi
语义网络	yuyiwangluo
凸優化	tuyouhua
戈登貝爾獎	gedengbeierjiang
复杂网络	fuzawangluo
操作系统列表	caozuoxitongliebiao
空白字元	kongbaiziyuan
智能设备	zhinengshebei
树	shu
影像變形	yingxiangbianxing
認知地圖	renzhiditu
指定敘述	zhidingxushu
框架	kuangjia
數碼物理學	shumawulixue
人物誌	renwuzhi
感应卡	ganyingka
分众分类法	fenzhongfenleifa
单向链表	danxianglianbiao
编码理论	bianmalilun
并发性	bingfaxing
旗標	qibiao
虛擬情人	xuniqingren
最短路问题	zuiduanluwenti
数据处理单元	shujuchulidanyuan
自我复制	ziwofuzhi
对象	duixiang
借记卡	jiejika
程序错误	chengxucuowu
暴风转码	baofengzhuanma
插件	chajian
