# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
巴拿马毒糖浆	banamadutangjiang
甲溝炎	jiagouyan
应声虫	yingshengchong
保持器	baochiqi
醫林改錯	yilingaicuo
對撞因子	duizhuangyinzi
耳燭	erzhu
死亡勃起	siwangboqi
超額死亡	chaoesiwang
玫瑰糠疹	meiguikangzhen
子癇前症	zixianqianzheng
杵狀指	chuzhuangzhi
全基因組定序	quanjiyinzudingxu
空氣傳播疾病	kongqichuanbojibing
人痘接种法	rendoujiezhongfa
鹿角	lujiao
精子银行	jingziyinxing
酵素誘導物	jiaosuyoudaowu
血液流變學	xueyeliubianxue
细支气管	xizhiqiguan
内毒素	neidusu
篩板	shaiban
阿比奥梅德	abiaomeide
知识表示	zhishibiaoshi
悉達醫學	xidayixue
四羰基镍	sitangjinie
防疫泡泡	fangyipaopao
阵挛	zhenluan
相模橡膠工業	xiangmoxiangjiaogongye
问题空间	wentikongjian
贾幼陵	jiayouling
卡马西平	kamaxiping
雷射手術刀	leisheshoushudao
钆喷酸	gapensuan
恐懼症列表	kongjuzhengliebiao
口罩	kouzhao
本草图经	bencaotujing
天然药物	tianranyaowu
血腦屏障	xuenaopingzhang
世界廁所組織	shijiecesuozuzhi
破天慌	potianhuang
儿童死亡率	ertongsiwanglv
醫療溫度計	yiliaowenduji
牙齒治療史	yachizhiliaoshi
图像配准	tuxiangpeizhun
卫生部	weishengbu
耳痛	ertong
毒物	duwu
人体测量学	renticeliangxue
奎寧	kuining
药物筛选	yaowushaixuan
剝製	bozhi
標準化病人	biaozhunhuabingren
心臟衰竭	xinzangshuaijie
治療	zhiliao
靶向药物	baxiangyaowu
藏毛疾病	cangmaojibing
溃疡性结肠炎	kuiyangxingjiechangyan
慢性高原病	manxinggaoyuanbing
社区医院	shequyiyuan
齒顎矯正學	chiejiaozhengxue
尿療法	niaoliaofa
克拉普胺	kelapuan
背根神經節	beigenshenjingjie
半胱胺	banguangan
弹性软骨	danxingruangu
半數中毒量	banshuzhongduliang
一氧化碳中毒	yiyanghuatanzhongdu
蠟療	laliao
埃及血吸蟲	aijixuexichong
氟牙症	fuyazheng
嵌頓性包莖	qiandunxingbaojing
中国毒理学会	zhongguodulixuehui
寬恕	kuanshu
闭锁综合征	bisuozonghezheng
鼻咽癌	biyanai
首仿药	shoufangyao
免疫衰老	mianyishuailao
鉍沉著症	bichenzhuzheng
惯性思维	guanxingsiwei
巴氨西林	baanxilin
庫興氏潰瘍	kuxingshikuiyang
中医外科学	zhongyiwaikexue
青年黨	qingniandang
美麗高解像	meiligaojiexiang
口服激發測驗	koufujifaceyan
神经典型	shenjingdianxing
磺胺二甲嘧啶	huanganerjiamiding
右心房压	youxinfangya
糖尿病學	tangniaobingxue
风邪	fengxie
心臟除顫	xinzangchuchan
克雅二氏病	keyaershibing
黃斑水腫	huangbanshuizhong
男性健康	nanxingjiankang
蘇菲舞	sufeiwu
遺腹子	yifuzi
法医人类学	fayirenleixue
貧窮病	pinqiongbing
阿米巴痢疾	amibaliji
杨志民	yangzhimin
伤风鼻塞	shangfengbisai
张家口医学院	zhangjiakouyixueyuan
緩解	huanjie
蘇非主義	sufeizhuyi
華佛症候群	huafuzhenghouqun
第五病	diwubing
路殺	lusha
达尔文点	daerwendian
氣管	qiguan
過度專注	guoduzhuanzhu
粉紅症	fenhongzheng
癌症分期	aizhengfenqi
胃心综合征	weixinzonghezheng
中醫學系	zhongyixuexi
闌尾炎	lanweiyan
吉川線	jichuanxian
子宫癌	zigongai
羊水	yangshui
生死學	shengsixue
乳房肿块	rufangzhongkuai
白點症病毒	baidianzhengbingdu
挤压综合征	jiyazonghezheng
阻生牙	zushengya
心率监测器	xinlvjianceqi
甲狀腺癌	jiazhuangxianai
胎毛	taimao
血小板減少症	xuexiaobanjianshaozheng
太极拳	taijiquan
成年晚期病人	chengnianwanqibingren
创可贴	chuangketie
麻醉	mazui
累积发病率	leijifabinglv
愛育醫院	aiyuyiyuan
艾滋病	aizibing
射精障礙	shejingzhangai
馬寶	mabao
性醫學	xingyixue
中脑边缘通路	zhongnaobianyuantonglu
静脉血栓	jingmaixueshuan
牙体复形	yatifuxing
丁托咪酯	dingtuomizhi
过继免疫	guojimianyi
家庭醫學	jiatingyixue
乙酸钾	yisuanjia
宁德市中医院	ningdeshizhongyiyuan
细针穿刺活检	xizhenchuancihuojian
病理学	binglixue
槲皮素	hupisu
自然疗法医生	ziranliaofayisheng
鼠蹊	shuqi
面动脉	miandongmai
中医执业范围	zhongyizhiyefanwei
少尿症	shaoniaozheng
最高機密	zuigaojimi
骨髓抑制	gusuiyizhi
急症復康部	jizhengfukangbu
麻疹	mazhen
反刍综合征	fanchuzonghezheng
尾骨	weigu
东台市中医院	dongtaishizhongyiyuan
月經稅	yuejingshui
血栓	xueshuan
