# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
非認知主義	feirenzhizhuyi
普罗泰戈拉	puluotaigela
批判理性主义	pipanlixingzhuyi
自性	zixing
圆柱代数	yuanzhudaishu
蕴含的单调性	yunhandedandiaoxing
不干預主義	buganyuzhuyi
小說家	xiaoshuojia
拉普拉斯妖	lapulasiyao
定言令式	dingyanlingshi
修辭學	xiucixue
元認識論	yuanrenshilun
沙乡年鉴	shaxiangnianjian
意见	yijian
限制	xianzhi
陈述性知识	chenshuxingzhishi
真理紧缩理论	zhenlijinsuolilun
道德的形上學	daodedexingshangxue
侘寂	chaji
博學家	boxuejia
信息	xinxi
定義項	dingyixiang
西方哲学史	xifangzhexueshi
自指	zizhi
理解	lijie
质变	zhibian
力	li
好人政府	haorenzhengfu
主體史學	zhutishixue
無	wu
相似性	xiangshixing
他心問題	taxinwenti
永康学派	yongkangxuepai
理性主义	lixingzhuyi
微调的宇宙	weidiaodeyuzhou
道德主觀論	daodezhuguanlun
模态一阶逻辑	motaiyijieluoji
猶太教哲學	youtaijiaozhexue
心理距離	xinlijuli
残忍	canren
道德	daode
为艺术而艺术	weiyishueryishu
心智表徵	xinzhibiaozheng
政治思想史	zhengzhisixiangshi
知识分子	zhishifenzi
充足理由律	chongzuliyoulv
中國新左派	zhongguoxinzuopai
征服權	zhengfuquan
硬币悖论	yingbibeilun
分析哲學	fenxizhexue
睡美人问题	shuimeirenwenti
留白	liubai
金英漢	jinyinghan
罪論	zuilun
化学哲学	huaxuezhexue
伦理困境	lunlikunjing
再分配	zaifenpei
黑天鵝理論	heitianelilun
模擬理論	monililun
逆否命题	nifoumingti
因子图	yinzitu
情緒主義	qingxuzhuyi
東華漢學	donghuahanxue
种族垃圾	zhongzulaji
经济社会化	jingjishehuihua
哲学与经济学	zhexueyujingjixue
漸變論	jianbianlun
仁学	renxue
性功	xinggong
同質論	tongzhilun
绝对普遍性	jueduipubianxing
主体性	zhutixing
巴洛克音乐	baluokeyinle
曼荼羅體系	mantuluotixi
古典哲学	gudianzhexue
不确定性	buquedingxing
邏輯語義學	luojiyuyixue
新神秘主義	xinshenmizhuyi
馬光洙	maguangzhu
經驗理性論	jingyanlixinglun
技術倫理	jishulunli
愚昧	yumei
十批判書	shipipanshu
虚无主义	xuwuzhuyi
内在价值	neizaijiazhi
尊严	zunyan
定義篇	dingyipian
电影理论	dianyinglilun
过程哲学	guochengzhexue
唯意志論	weiyizhilun
自然哲学	ziranzhexue
反智主义	fanzhizhuyi
大象测试	daxiangceshi
预定论	yudinglun
公民自由	gongminziyou
权力下放	quanlixiafang
復仇主義	fuchouzhuyi
艺术	yishu
诺耶玛	nuoyema
埃奈西德穆	ainaixidemu
审美教育书简	shenmeijiaoyushujian
无知之幕	wuzhizhimu
新苏维埃主义	xinsuweiaizhuyi
主体思想	zhutisixiang
实践论	shijianlun
主体间性	zhutijianxing
自由意志主義	ziyouyizhizhuyi
科学唯物主义	kexueweiwuzhuyi
离坚白	lijianbai
相關性	xiangguanxing
四因說	siyinshuo
流溢说	liuyishuo
莫顿之叉	modunzhicha
王炜	wangwei
他異性	tayixing
疯癫与文明	fengdianyuwenming
