# 泰深输入法专业词库 — 饮食
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
关爷宫前尖米丸	guanyegongqianjianmiwan
兴义耳块粑	xingyierkuaiba
兴隆咖啡	xinglongkafei
养生吐司春卷	yangshengtusichunjuan
养生汤	yangshengtang
养胃酥	yangweisu
养血安胎汤	yangxueantaitang
兼善餐厅	jianshancanting
内江蜜饯	neijiangmijian
冒节子肥肠粉	maojiezifeichangfen
冒菜	maocai
军屯锅魁	juntunguokui
农夫果园	nongfuguoyuan
农夫茶	nongfucha
农家乐元	nongjialeyuan
农家小炒肉	nongjiaxiaochaorou
农家白切鸡	nongjiabaiqieji
农家茶	nongjiacha
冬果梨	dongguoli
冬瓜条	dongguatiao
冬瓜炖排骨	dongguadunpaigu
冬瓜煲汤	dongguabaotang
冬瓜燕	dongguayan
冬瓜甑	dongguazeng
冬瓜虾皮汤	dongguaxiapitang
冬瓜连锅汤	donggualianguotang
冬瓜饼	dongguabing
冬瓜鳖裙羹	dongguabiequngeng
冬笋里脊丝	dongsunlijisi
冬菇汤包	donggutangbao
冬菇炒面	dongguchaomian
冬菇炖鸡汤	donggudunjitang
冬菇蒸滑鸡	dongguzhenghuaji
冬菇藕夹	dongguoujia
冬菇虫草炖鲍参	dongguchongcaodunbaocan
冬菇雪耳猪胰汤	dongguxueerzhuyitang
冬菇鸡脚汤	donggujijiaotang
冬菜扣肉	dongcaikourou
冬菜肉末	dongcairoumo
冬蓉酥	dongrongsu
冬虫夏草鸭	dongchongxiacaoya
冬虫草炖水鱼	dongchongcaodunshuiyu
冯了性药酒	fenglexingyaojiu
冰之恋	bingzhilian
冰凉糕	binglianggao
冰卡布奇诺	bingkabuqinuo
冰拿铁	bingnatie
冰拿铁咖啡	bingnatiekafei
冰汁杏淖	bingzhixingnao
冰泉滴珠豆浆	bingquandizhudoujiang
冰泉豆浆	bingquandoujiang
冰激凌水果沙拉	bingjilingshuiguoshala
冰激凌蛋糕	bingjilingdangao
冰焦糖玛奇朵	bingjiaotangmaqiduo
冰片糖	bingpiantang
冰皮月饼	bingpiyuebing
冰粉	bingfen
冰糖哈士蟆	bingtanghashima
冰糖核桃	bingtanghetao
冰糖湘莲	bingtangxianglian
冰糖燕窝	bingtangyanwo
冰糖莲子	bingtanglianzi
冰糖莲子汤	bingtanglianzitang
冰糖蒸鸡胆	bingtangzhengjidan
冰糖金耳鸽蛋	bingtangjinergedan
冰糖银耳羹	bingtangyinergeng
冰结构蛋白	bingjiegoudanbai
冰花雪莲	binghuaxuelian
冰菜	bingcai
冰葫芦	binghulu
冰蓼花	bingliaohua
冰豌豆粉	bingwandoufen
冰镇番茄汁	bingzhenfanqiezhi
冲糯米粉	chongnuomifen
决明子粥	juemingzizhou
决明子茶	juemingzicha
决明胶	juemingjiao
冷冻牛肚	lengdongniudu
冷冻牛肝	lengdongniugan
冷冻牛舌	lengdongniushe
冷冻鸭掌	lengdongyazhang
冷啖杯	lengdanbei
冷粉	lengfen
冷锅鱼	lengguoyu
冻冻肉	dongdongrou
冻米糖	dongmitang
冻豆腐金针	dongdoufujinzhen
冻银鱼	dongyinyu
凉拌三色	liangbansanse
凉拌冬瓜	liangbandonggua
凉拌折耳根	liangbanzheergen
凉拌海带	liangbanhaidai
凉拌牛肚	liangbanniudu
凉拌牛蒡	liangbanniubang
凉拌猪耳	liangbanzhuer
凉拌皮蛋	liangbanpidan
凉拌粉丝	liangbanfensi
凉拌红萝卜	liangbanhongluobo
凉拌芫荽	liangbanyansui
凉拌苦瓜	liangbankugua
凉拌茭白	liangbanjiaobai
凉拌莲藕	liangbanlianou
凉拌藕	liangbanou
凉拌藕片	liangbanoupian
凉拌豆腐	liangbandoufu
凉拌豇豆	liangbanjiangdou
凉拌辣味螺	liangbanlaweiluo
凉拌金针菇	liangbanjinzhengu
凉拌鱼腥草	liangbanyuxingcao
凉拌鱿鱼	liangbanyouyu
凉拌鸡丝	liangbanjisi
凉瓜排骨	liangguapaigu
凉瓜浸田鸡	liangguajintianji
凉瓜炒蛋	liangguachaodan
凉瓜牛肉	liangguaniurou
凉皮子	liangpizi
凉粉鲫鱼	liangfenjiyu
凉糍粑	liangciba
凉虾	liangxia
凉蛋糕	liangdangao
凉豌豆粉	liangwandoufen
凉鸡米线	liangjimixian
凌云白毫	lingyunbaihao
凤凰出世	fenghuangchushi
凤凰展翅	fenghuangzhanchi
凤凰水仙茶	fenghuangshuixiancha
凤凰社饭	fenghuangshefan
凤凰萝卜	fenghuangluobo
凤凰趴窝	fenghuangpawo
凤凰鱼翅	fenghuangyuchi
凤凰鱼肚	fenghuangyudu
凤吞翅	fengtunchi
凤尾吐司虾片	fengweitusixiapian
凤尾烧卖	fengweishaomai
凤尾烧麦	fengweishaomai
凤尾群翅	fengweiqunchi
凤尾腰花	fengweiyaohua
凤尾虾排	fengweixiapai
凤尾酥	fengweisu
