# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
卢汉	luhan
卢潮	luchao
卢照龄	luzhaoling
卢燕	luyan
卢琦	luqi
卢纶	lulun
卢致德	luzhide
卢逊	luxun
卢镐	lugao
卢鸿杰	luhongjie
卢龙塞	lulongsai
卫仲道	weizhongdao
卫兰	weilan
卫出公	weichugong
卫宣公	weixuangong
卫庄公	weizhuanggong
卫康叔	weikangshu
卫弘	weihong
卫慧	weihui
卫桓公	weihuangong
卫献公	weixiangong
卫王	weiwang
卫瓘	weiguan
卫青	weiqing
印建坤	yinjiankun
危素	weisu
厉娜	lina
厉志	lizhi
厉晓秋	lixiaoqiu
厉王	liwang
厉鹗	lie
厌次	yanci
原千寻	yuanqianxun
原哲夫	yuanzhefu
原武	yuanwu
原济	yuanji
原田芳雄	yuantianfangxiong
原纱央莉	yuanshayangli
县侯	xianhou
及川光博	jichuanguangbo
及川奈央	jichuannaiyang
叔向	shuxiang
古华	guhua
