# 泰深输入法专业词库 — 财经金融
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一德	yide
拉高均价	lagaojunjia
拒批	jupi
拓尔思	tuoersi
拓日新能	tuorixinneng
招募说明书	zhaomushuomingshu
招商局中国基金	zhaoshangjuzhongguojijin
招商局国际	zhaoshangjuguoji
招标者	zhaobiaozhe
招行卡	zhaohangka
持仓不动	chicangbudong
持币	chibi
持本单	chibendan
挂价	guajia
指令部	zhilingbu
按年	annian
按日	anri
按月	anyue
振业集团	zhenyejituan
振新	zhenxin
换股	huangu
授予者	shouyuzhe
掉期	diaoqi
控股有限公司	kongguyouxiangongsi
提额	tie
揽存	lancun
搜于特	souyute
摩根大通	mogendatong
摩根财团	mogencaituan
操作指南	caozuozhinan
操作流程	caozuoliucheng
操作规范	caozuoguifan
攀渝钛业	panyutaiye
支取凭证	zhiqupingzheng
收官日	shouguanri
收益宝	shouyibao
收结汇	shoujiehui
收费收据	shoufeishouju
收还	shouhai
改票	gaipiao
政府采购	zhengfucaigou
政策工具	zhengcegongju
政策面	zhengcemian
斯伦贝榭	silunbeixie
斯普林特	sipulinte
新中基	xinzhongji
新五丰	xinwufeng
新京报	xinjingbao
新低点	xindidian
新北洋	xinbeiyang
新华基金	xinhuajijin
新华百货	xinhuabaihuo
新华财经	xinhuacaijing
新华都	xinhuadou
新华银行	xinhuayinhang
新华锦	xinhuajin
新卡	xinka
新和成	xinhecheng
新嘉联	xinjialian
新城市	xinchengshi
新天	xintian
新奥燃气	xinaoranqi
新威国际	xinweiguoji
新宏信	xinhongxin
新宙邦	xinzhoubang
新希望	xinxiwang
新开普	xinkaipu
新材	xincai
新浪财经	xinlangcaijing
新海宜	xinhaiyi
新疆天业	xinjiangtianye
新疆天宏	xinjiangtianhong
新疆屯河	xinjiangtunhe
新秀丽	xinxiuli
新经济	xinjingji
新莱应材	xinlaiyingcai
新规定	xinguiding
新财富	xincaifu
新财经	xincaijing
新资本	xinziben
新都酒店	xindoujiudian
新野纺织	xinyefangzhi
新锦华	xinjinhua
新闻集团	xinwenjituan
新韩银行	xinhanyinhang
新高点	xingaodian
新鸿基公司	xinhongjigongsi
新鸿基地产	xinhongjidichan
新龙国际	xinlongguoji
方兴	fangxing
方兴地产	fangxingdichan
方大特钢	fangdategang
方大集团	fangdajituan
方正富邦	fangzhengfubang
方源	fangyuan
旗滨集团	qibinjituan
无锡尚德	wuxishangde
日内	rinei
日科化学	rikehuaxue
日贷	ridai
旧股	jiugu
昌源	changyuan
明星电力	mingxingdianli
明泰铝业	mingtailvye
易世达	yishida
易基	yiji
易宝	yibao
易方达基金	yifangdajijin
易联众	yilianzhong
星美	xingmei
晋察冀边区银行	jinchajibianquyinhang
普利特	pulite
普卡	puka
普天债	putianzhai
普天债券	putianzhaiquan
普天收益	putianshouyi
普民	pumin
普洛康裕	puluokangyu
普洛股份	puluogufen
普涨	puzhang
普跌	pudie
景顺长城	jingshunchangcheng
暴升	baosheng
月报	yuebao
有关规定	youguanguiding
有效市场假说	youxiaoshichangjiashuo
服务协议	fuwuxieyi
服务合同	fuwuhetong
服务营销	fuwuyingxiao
朗伯德街	langbodejie
期权费	qiquanfei
期货交易管理条例	qihuojiaoyiguanlitiaoli
期货公司	qihuogongsi
本实	benshi
机制性	jizhixing
机电股	jidiangu
权智	quanzhi
杜约翰	duyuehan
杨红革	yanghongge
杭汽轮	hangqilun
松辽汽车	songliaoqiche
