# 泰深输入法专业词库 — meteorology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
懸浮粒子	xuanfulizi
二手煙	ershouyan
喀拉拉紅雨	kalalahongyu
晨輝	chenhui
西伯利亚气团	xiboliyaqituan
气象学	qixiangxue
网状云	wangzhuangyun
道爾頓極小期	daoerdunjixiaoqi
科里奧利頻率	keliaolipinlv
东风波	dongfengbo
帝烏斯	diwusi
湿热指数	shirezhishu
天氣姐姐	tianqijiejie
體積	tiji
大气化学	daqihuaxue
氣象廳	qixiangting
柱密度	zhumidu
颶風華金	jufenghuajin
浓积云	nongjiyun
正壓大氣	zhengyadaqi
湿球温度	shiqiuwendu
焚風	fenfeng
海況	haikuang
凝结尾迹	ningjieweiji
氣壓系統	qiyaxitong
堡状层积云	baozhuangcengjiyun
钩卷云	goujuanyun
旱季	hanji
斜压	xieya
宁夏气象台	ningxiaqixiangtai
天空亮度	tiankongliangdu
天光圖	tianguangtu
雨滴大小分布	yudidaxiaofenbu
低壓槽	diyacao
荚状层积云	jiazhuangcengjiyun
後熱帶氣旋	houredaiqixuan
西伯利亞高壓	xiboliyagaoya
冰段	bingduan
超级单体	chaojidanti
平衡高度	pinghenggaodu
四日市哮喘	sirishixiaochuan
藍色時刻	lanseshike
霜凍	shuangdong
冬灾	dongzai
平均輻射溫度	pingjunfushewendu
降水	jiangshui
阿姆斯壯極限	amusizhuangjixian
雌性化	cixinghua
沙尘暴	shachenbao
舒曼波	shumanbo
查尼反饋	chanifankui
太陽雨	taiyangyu
天氣紀錄列表	tianqijiluliebiao
潛熱	qianre
天气	tianqi
雨量變率	yuliangbianlv
室內空氣污染	shineikongqiwuran
碎层云	suicengyun
溫度計	wenduji
北大暗斑	beidaanban
煙霧	yanwu
卷层云	juancengyun
凝固	ninggu
強颱風	qiangtaifeng
阿留申低壓	aliushendiya
大气逃逸	daqitaoyi
风云系列卫星	fengyunxilieweixing
日射量	risheliang
沃克環流	wokehuanliu
雷打雪	leidaxue
雾凇	wusong
生物偵測	shengwuzhence
羟自由基	qiangziyouji
帕里弧	palihu
颱風愛娜斯	taifengainasi
热成风	rechengfeng
污染气象学	wuranqixiangxue
狹管效應	xiaguanxiaoying
空气密度	kongqimidu
完美风暴	wanmeifengbao
度日	duri
凍傷	dongshang
米爾斯天文台	miersitianwentai
夜光云	yeguangyun
除蟎機	chumanji
大地坐标系	dadizuobiaoxi
熱指標	rezhibiao
颱風莎拉	taifengshala
雪暴	xuebao
中云	zhongyun
颱風嘉麗	taifengjiali
絮状卷云	xuzhuangjuanyun
蒸发	zhengfa
熱衰竭	reshuaijie
大气探测	daqitance
液晶化點	yejinghuadian
清晰點	qingxidian
