# 泰深输入法专业词库 — 地名
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
三里村	sanlicun
三里桥路	sanliqiaolu
三里河一区社区	sanliheyiqushequ
三里河东口	sanlihedongkou
三里河东路南口	sanlihedonglunankou
三里河乡	sanlihexiang
三里洞街道	sanlidongjiedao
三里湾街道	sanliwanjiedao
三金药业	sanjinyaoye
三锅乡	sanguoxiang
三长村	sanzhangcun
三门中学	sanmenzhongxue
三门村	sanmencun
三门滩	sanmentan
三门路	sanmenlu
三门里	sanmenli
三间房东村	sanjianfangdongcun
三间房西村	sanjianfangxicun
三阳村	sanyangcun
三阳路	sanyanglu
三陂	sanbei
三雁	sanyan
三青村	sanqingcun
三马路	sanmalu
三高公司	sangaogongsi
三高农业示范区	sangaonongyeshifanqu
三高路	sangaolu
三黄庄村	sanhuangzhuangcun
三龙村	sanlongcun
上三路口	shangsanlukou
上三里	shangsanli
上下九步行街	shangxiajiubuxingjie
上下川	shangxiachuan
上东国际	shangdongguoji
上东廓	shangdongkuo
上东村	shangdongcun
上中西路	shangzhongxilu
上中路	shangzhonglu
上丰村	shangfengcun
上九东	shangjiudong
上云	shangyun
上云村	shangyuncun
上亚东乡	shangyadongxiang
上伊	shangyi
上佳市	shangjiashi
上佳市小学	shangjiashixiaoxue
上佳市市场	shangjiashishichang
上僚	shangliao
上元门	shangyuanmen
上党郡	shangdangjun
上八寨乡	shangbazhaixiang
上八庙镇	shangbamiaozhen
上兰街道	shanglanjiedao
上农新村	shangnongxincun
上冯村	shangfengcun
上冲	shangchong
上冲总站	shangchongzongzhan
上冲检查站	shangchongjianchazhan
上净水	shangjingshui
上凹	shangao
上北良村	shangbeiliangcun
上升乡	shangshengxiang
上升村	shangshengcun
上午通	shangwutong
上华	shanghua
上华村	shanghuacun
上南中学	shangnanzhongxue
上南二村	shangnanercun
上南新村	shangnanxincun
上南村	shangnancun
上南花苑	shangnanhuayuan
上南路	shangnanlu
上厅	shangting
上厅村	shangtingcun
上厝	shangcuo
上厝村	shangcuocun
上司乡	shangsixiang
上司源乡	shangsiyuanxiang
上合村	shanghecun
上后街	shanghoujie
上吴村	shangwucun
上周村	shangzhoucun
上喇叭	shanglaba
上团	shangtuan
上团乡	shangtuanxiang
上园	shangyuan
上围新村	shangweixincun
上固乡	shangguxiang
上国强胡同	shangguoqianghutong
上圩村	shangweicun
上地七街	shangdiqijie
上地五街	shangdiwujie
上地佳园	shangdijiayuan
上地南口	shangdinankou
上地南路	shangdinanlu
上地村	shangdicun
上地桥东	shangdiqiaodong
上地环岛东	shangdihuandaodong
上地环岛南	shangdihuandaonan
上坂	shangban
上坂村	shangbancun
上坊	shangfang
上坑	shangkeng
上坑村	shangkengcun
上坡坑	shangpokeng
上坪寨乡	shangpingzhaixiang
上城区秋涛路	shangchengquqiutaolu
上城风景	shangchengfengjing
上埔	shangpu
上埠	shangbu
上堡	shangbao
上堡村	shangbaocun
上堰	shangyan
上塘	shangtang
上塘村	shangtangcun
上塘路口	shangtanglukou
上塘路舟山路口	shangtangluzhoushanlukou
上墩	shangdun
上壤塘乡	shangrangtangxiang
上大垅	shangdalong
上大垅街道	shangdalongjiedao
上大城	shangdacheng
上天竺	shangtianzhu
上妙	shangmiao
上姚	shangyao
上姚村	shangyaocun
上姜	shangjiang
上宁桥	shangningqiao
上宅	shangzhai
上宋	shangsong
上官坊乡	shangguanfangxiang
上宜园	shangyiyuan
上宝	shangbao
上察隅镇	shangchayuzhen
上寨	shangzhai
上寨村	shangzhaicun
上寺店乡	shangsidianxiang
上小河	shangxiaohe
上尧	shangyao
上尧村	shangyaocun
上屋村	shangwucun
上屯	shangtun
上山排	shangshanpai
上山村	shangshancun
上山溪	shangshanxi
上岗头	shanggangtou
上岙	shangao
上岭	shangling
上峡乡	shangxiaxiang
上川岛	shangchuandao
上川路	shangchuanlu
上布	shangbu
上帅镇	shangshuaizhen
上帝王	shangdiwang
上庄水库	shangzhuangshuiku
上庄站	shangzhuangzhan
上库力农场	shangkulinongchang
上店	shangdian
上店路口	shangdianlukou
上延河	shangyanhe
上建	shangjian
上张村	shangzhangcun
上徐	shangxu
上徐村	shangxucun
上德	shangde
上忍	shangren
上怡二村	shangyiercun
上怡新村	shangyixincun
上扬村	shangyangcun
上护	shanghu
上拉秀乡	shanglaxiuxiang
上新	shangxin
上新城乡	shangxinchengxiang
上新塘	shangxintang
上新屋	shangxinwu
上新庄	shangxinzhuang
上新村	shangxincun
上新河	shangxinhe
上方村	shangfangcun
上方门	shangfangmen
上旺	shangwang
上明乡	shangmingxiang
上春	shangchun
上春村	shangchuncun
上智	shangzhi
上智村	shangzhicun
上曾	shangceng
上朗	shanglang
上望	shangwang
上木拉乡	shangmulaxiang
上木村	shangmucun
上村仔	shangcunzai
上村小学	shangcunxiaoxue
上村村	shangcuncun
上村社区	shangcunshequ
上杨回族乡	shangyanghuizuxiang
上杨村	shangyangcun
上杭路	shanghanglu
上杭路芳馨园	shanghanglufangxinyuan
上林村	shanglincun
上林湖	shanglinhu
上林苑小区	shanglinyuanxiaoqu
上林苑社区	shanglinyuanshequ
上柴厂	shangchaichang
上栅	shangzha
上栗	shangli
上栗区	shangliqu
上桥	shangqiao
上桥街道	shangqiaojiedao
上梅林	shangmeilin
上梧江瑶族乡	shangwujiangyaozuxiang
上楼村	shangloucun
上楼背	shangloubei
上横街	shanghengjie
上步中学	shangbuzhongxue
上步中路	shangbuzhonglu
上步北路	shangbubeilu
上步南路	shangbunanlu
上步码头	shangbumatou
上步路	shangbulu
上水头	shangshuitou
上水径	shangshuijing
上水流	shangshuiliu
上水磨村	shangshuimocun
上江考棚	shangjiangkaopeng
上江路	shangjianglu
上沙	shangsha
上沙新村	shangshaxincun
上沙村	shangshacun
上沙河	shangshahe
上沙街	shangshajie
上沟	shanggou
上河坝	shangheba
上河头	shanghetou
上河村	shanghecun
上河湾	shanghewan
上河溪乡	shanghexixiang
上河滨	shanghebin
上河街街道	shanghejiejiedao
