# 泰深输入法专业词库 — 成语
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
翻手为云覆手为雨	fanshouweiyunfushouweiyu
老大徒伤悲	laodatushangbei
老子英雄儿好汉	laoziyingxiongerhaohan
老无所依	laowusuoyi
老鼠过街人人喊打	laoshuguojierenrenhanda
耳朵起茧	erduoqijian
聚讼纷纭	jusongfenyun
聪明过人	congmingguoren
胜不骄败不馁	shengbujiaobaibunei
胸中块垒	xiongzhongkuailei
自我治疗	ziwozhiliao
舍命救人	shemingjiuren
舍命陪君子	shemingpeijunzi
舍得一身剐	shedeyishengua
舍身成仁	sheshenchengren
船到桥头自然直	chuandaoqiaotouziranzhi
花花型警	huahuaxingjing
若有所悟	ruoyousuowu
苦不聊生	kubuliaosheng
荆楚岁时记	jingchusuishiji
莺飞草长	yingfeicaozhang
落花有意流水无情	luohuayouyiliushuiwuqing
薄情寡义	boqingguayi
蜀中无大将	shuzhongwudajiang
蜂拥而入	fengyongerru
蜂拥而出	fengyongerchu
螳螂捕蝉黄雀在后	tanglangbuchanhuangquezaihou
街头巷议	jietouxiangyi
衣来伸手饭来张口	yilaishenshoufanlaizhangkou
覆巢之下无完卵	fuchaozhixiawuwanluan
见物不见人	jianwubujianren
见龙卸甲	jianlongxiejia
视而不见听而不闻	shierbujiantingerbuwen
觊觎之心	jiyuzhixin
言必信行必果	yanbixinxingbiguo
言有尽而意无穷	yanyoujineryiwuqiong
计上心头	jishangxintou
说风凉话	shuofenglianghua
读书破万卷	dushupowanjuan
谆谆善诱	zhunzhunshanyou
谈天论地	tantianlundi
谈笑有鸿儒	tanxiaoyouhongru
谬误百出	miuwubaichu
财源广进	caiyuanguangjin
贫贱不能移	pinjianbunengyi
费心劳神	feixinlaoshen
赞口不绝	zankoubujue
跑了和尚跑不了庙	paoleheshangpaobulemiao
路见不平拔刀相助	lujianbupingbadaoxiangzhu
踏破铁鞋无觅处	tapotiexiewumichu
身在福中不知福	shenzaifuzhongbuzhifu
身教重于言教	shenjiaozhongyuyanjiao
身正不怕影子斜	shenzhengbupayingzixie
车如流水马如龙	cheruliushuimarulong
达则兼济天下	dazejianjitianxia
近乡情怯	jinxiangqingqie
送君千里	songjunqianli
逢山开路遇水搭桥	fengshankailuyushuidaqiao
道高一尺魔高一丈	daogaoyichimogaoyizhang
遗患无穷	yihuanwuqiong
郁郁不得志	yuyubudezhi
重赏之下必有勇夫	zhongshangzhixiabiyouyongfu
金玉其外败絮其中	jinyuqiwaibaixuqizhong
金马碧鸡	jinmabiji
釜底之鱼	fudizhiyu
铁面无情	tiemianwuqing
铜壶滴漏	tonghudilou
银样镴枪头	yinyanglaqiangtou
长江七号	changjiangqihao
门户洞开	menhudongkai
防民之口甚于防川	fangminzhikoushenyufangchuan
陌路相逢	moluxiangfeng
难以企及	nanyiqiji
难以挽回	nanyiwanhui
难以理喻	nanyiliyu
难登大雅之堂	nandengdayazhitang
雀屏中选	quepingzhongxuan
雄赳赳气昂昂	xiongjiujiuqiangang
零乱不堪	lingluanbukan
雷声大雨点小	leishengdayudianxiao
雷霆一击	leitingyiji
青云之志	qingyunzhizhi
青出于蓝胜于蓝	qingchuyulanshengyulan
非学无以广才	feixuewuyiguangcai
非宁静无以致远	feiningjingwuyizhiyuan
非志无以成学	feizhiwuyichengxue
非淡泊无以明志	feidanbowuyimingzhi
靠山吃山靠水吃水	kaoshanchishankaoshuichishui
面不改色心不跳	mianbugaisexinbutiao
鞠躬尽瘁死而后已	jugongjincuisierhouyi
项庄舞剑意在沛公	xiangzhuangwujianyizaipeigong
顺我者昌逆我者亡	shunwozhechangniwozhewang
风声鹤唳草木皆兵	fengshenghelicaomujiebing
风尘女子	fengchennvzi
风清气爽	fengqingqishuang
风牛马不相及	fengniumabuxiangji
风行草偃	fengxingcaoyan
风轻云淡	fengqingyundan
食洋不化	shiyangbuhua
驴头不对马嘴	lvtoubuduimazui
高不可及	gaobukeji
魔高一尺道高一丈	mogaoyichidaogaoyizhang
鲤鱼跳龙门	liyutiaolongmen
麻雀虽小五脏俱全	maquesuixiaowuzangjuquan
龙生龙凤生凤	longshenglongfengshengfeng
