# 泰深输入法专业词库 — law
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
自然人	ziranren
国家安全信函	guojiaanquanxinhan
國家法人說	guojiafarenshuo
集体诉讼	jitisusong
複數意見書	fushuyijianshu
敕書	chishu
蒋新苗	jiangxinmiao
無政府法規範	wuzhengfufaguifan
宪兵	xianbing
土田博行	tutianboxing
国家亲权	guojiaqinquan
南特敕令	nantechiling
失當行為	shidangxingwei
斯堤克斯	sidikesi
誤殺	wusha
纹章官	wenzhangguan
國會法令	guohuifaling
合作经济学	hezuojingjixue
外星不動產	waixingbudongchan
自首與投案	zishouyutouan
寬限期	kuanxianqi
謀叛	moupan
国家保护责任	guojiabaohuzeren
公司	gongsi
全面通缉	quanmiantongji
特留分	teliufen
一望而知	yiwangerzhi
知情權	zhiqingquan
批准	pizhun
医师执照	yishizhizhao
聽審請求權	tingshenqingqiuquan
萨克森之鉴	sakesenzhijian
上訴法院	shangsufayuan
義務	yiwu
成文法則	chengwenfaze
告訴乃論	gaosunailun
自衛殺人	ziweisharen
奴隸解放	nulijiefang
死刑犯	sixingfan
伊朗遛狗禁令	yilangliugoujinling
治安官	zhianguan
授權	shouquan
國籍	guoji
实在法	shizaifa
遺囑	yizhu
法官備忘錄	faguanbeiwanglu
第三部門	disanbumen
愛狗人士	aigourenshi
足球女将	zuqiunvjiang
继续犯	jixufan
令状	lingzhuang
日本司法考试	ribensifakaoshi
公司重组	gongsizhongzu
迫害	pohai
归还教产敕令	guihaijiaochanchiling
张巴拿巴	zhangbanaba
代表大會	daibiaodahui
持枪权	chiqiangquan
注释法学派	zhushifaxuepai
人权论	renquanlun
主观权利	zhuguanquanli
国会纵火法令	guohuizonghuofaling
物种歧视	wuzhongqishi
宣誓	xuanshi
可汗學院	kehanxueyuan
公法	gongfa
私权利	siquanli
法律解釋	falvjieshi
法律社会学	falvshehuixue
袋鼠法庭	daishufating
僱傭合約	guyongheyue
藥物不當移轉	yaowubudangyizhuan
自由西藏運動	ziyouxicangyundong
匿名作品	nimingzuopin
企业律师	qiyelvshi
世界人权大会	shijierenquandahui
承諾	chengnuo
刑罰學	xingfaxue
哈德逊湾公司	hadexunwangongsi
電訊條例	dianxuntiaoli
美国版权法	meiguobanquanfa
主权国家列表	zhuquanguojialiebiao
抗多數決困境	kangduoshujuekunjing
禁令	jinling
垄断协议	longduanxieyi
報告員	baogaoyuan
责任	zeren
檢察官	jianchaguan
例外状态	liwaizhuangtai
公訴程序	gongsuchengxu
權利失效	quanlishixiao
法理	fali
麥亥爾	maihaier
美國破產法	meiguopochanfa
自助行為	zizhuxingwei
列隊認人	lieduirenren
人權護衛者	renquanhuweizhe
网球厅宣誓	wangqiutingxuanshi
省縣自治法	shengxianzizhifa
犯罪中止	fanzuizhongzhi
原告	yuangao
北京宣言	beijingxuanyan
版权转让协议	banquanzhuanrangxieyi
國際人道法	guojirendaofa
國際法研究院	guojifayanjiuyuan
民法大全	minfadaquan
农场	nongchang
狗肉	gourou
法律教育	falvjiaoyu
禁煙	jinyan
劓刑	yixing
非國家主體	feiguojiazhuti
國土三法	guotusanfa
古拉格群岛	gulagequndao
刑法效力	xingfaxiaoli
酷刑	kuxing
净室设计	jingshisheji
股份有限公司	gufenyouxiangongsi
共和十年宪法	gongheshinianxianfa
非法数字	feifashuzi
无力偿付	wulichangfu
公訴	gongsu
英國的法院	yingguodefayuan
不雅暴露	buyabaolu
日落條款	riluotiaokuan
同時存在原則	tongshicunzaiyuanze
民法	minfa
神聖法	shenshengfa
血腥体育	xuexingtiyu
比	bi
內湖虐貓事件	neihunvemaoshijian
新加坡律政部	xinjiapolvzhengbu
公证	gongzheng
長老院	zhanglaoyuan
主權豁免	zhuquanhuomian
除罪化	chuzuihua
刑事辯護律師	xingshibianhulvshi
习惯法	xiguanfa
共同行為	gongtongxingwei
知识产权法	zhishichanquanfa
選舉呈請	xuanjuchengqing
宗座憲令	zongzuoxianling
違禁品	weijinpin
马拉喀什条约	malakashentiaoyue
犯罪客观要件	fanzuikeguanyaojian
建屋合作社	jianwuhezuoshe
出入境自由	churujingziyou
請求權	qingqiuquan
質證	zhizheng
法律责任	falvzeren
校园警察	xiaoyuanjingcha
不干預主義	buganyuzhuyi
國民協會	guominxiehui
香港野豬問題	xianggangyezhuwenti
正犯	zhengfan
信託	xintuo
仁人家園	renrenjiayuan
怯懦	qienuo
不動產所有權	budongchansuoyouquan
禁止蒙面規例	jinzhimengmianguili
违宪审查	weixianshencha
常识主义	changshizhuyi
过错	guocuo
限定繼承	xiandingjicheng
須田博	xutianbo
人权宣言	renquanxuanyan
民權運動	minquanyundong
全球网络倡议	quanqiuwangluochangyi
買斷式授權	maiduanshishouquan
非轉向長期囚	feizhuanxiangzhangqiqiu
宗教裁判所	zongjiaocaipansuo
一贯反对原则	yiguanfanduiyuanze
獸刑	shouxing
裁判官	caipanguan
踰越限制級	yuyuexianzhiji
串供	chuangong
犯罪行為	fanzuixingwei
著作权声明	zhuzuoquanshengming
批鬥	pidou
局部免責辯護	jubumianzebianhu
屬地主義	shudizhuyi
律政司	lvzhengsi
存證信函	cunzhengxinhan
市場劃分協議	shichanghuafenxieyi
酌情	zhuoqing
法盲	famang
黑客道德	heikedaode
鐵路法	tielufa
过程	guocheng
物权	wuquan
行政執行法	xingzhengzhixingfa
继承	jicheng
被遺忘權	beiyiwangquan
集體自衛權	jitiziweiquan
業權	yequan
不在场证明	buzaichangzhengming
适婚年龄	shihunnianling
無害通過	wuhaitongguo
稅法	shuifa
潘德克顿学派	pandekedunxuepai
活的宪法	huodexianfa
柏拉图	bolatu
候选人年龄	houxuanrennianling
征服權	zhengfuquan
公民宣誓	gongminxuanshi
轉向處遇	zhuanxiangchuyu
公證行	gongzhengxing
結婚誓詞	jiehunshici
直接證據	zhijiezhengju
植物权利	zhiwuquanli
西兰公国	xilangongguo
私人草案	sirencaoan
許智峯	xuzhifeng
警務區	jingwuqu
湿地国际	shidiguoji
國際法主體	guojifazhuti
代替物	daitiwu
民事過失	minshiguoshi
国际合作社日	guojihezuosheri
全球塑膠公約	quanqiusujiaogongyue
生育权	shengyuquan
国际教育协会	guojijiaoyuxiehui
違約	weiyue
塔格利德	tagelide
附带意见	fudaiyijian
打撈	dalao
法权基础论	faquanjichulun
文社	wenshe
契约经济学	qiyuejingjixue
無意義訴訟	wuyiyisusong
檢控酌情權	jiankongzhuoqingquan
自我防衛	ziwofangwei
执法人员	zhifarenyuan
防禦性醫療	fangyuxingyiliao
债务重组	zhaiwuchongzu
法官	faguan
自由心證	ziyouxinzheng
行为绝望模型	xingweijuewangmoxing
動物法	dongwufa
私人道路協會	sirendaoluxiehui
班朱尼河盟誓	banzhunihemengshi
賓漢隆起	binhanlongqi
绝望之井	juewangzhijing
人道干涉	rendaoganshe
勞動三權	laodongsanquan
会馆	huiguan
立法會	lifahui
大清著作權律	daqingzhuzuoquanlv
虚假指控	xujiazhikong
錯誤拘捕	cuowujubu
尊严	zunyan
不同意見書	butongyijianshu
兄弟谋杀	xiongdimousha
黄犬契约	huangquanqiyue
獨立合同人	dulihetongren
民事訴訟法	minshisusongfa
