# 泰深输入法专业词库 — art
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
青年波兰运动	qingnianbolanyundong
大奧之櫻	daaozhiying
石版印刷	shibanyinshua
優雅的謊言	youyadehuangyan
伏尼契手稿	funiqishougao
最高機密	zuigaojimi
青春家族	qingchunjiazu
感伤主义	ganshangzhuyi
未來主義建築	weilaizhuyijianzhu
國際奇連藍	guojiqilianlan
传国玺	chuanguoxi
古典音乐	gudianyinyue
花俏绘画	huaqiaohuihua
蘇美爾遊戲	sumeieryouxi
法蘭西組曲	falanxizuqu
編織	bianzhi
屍者的帝國	shizhedediguo
帕内尔广场	paneierguangchang
深潜者	shenqianzhe
打棗	dazao
集英社文庫	jiyingshewenku
微流派	weiliupai
南北剧社	nanbeijushe
智永	zhiyong
凶心人	xiongxinren
室内装飾	shineizhuangshi
手工艺	shougongyi
吃馬鈴薯的人	chimalingshuderen
銀河帝國	yinhediguo
烙鐵	laotie
金錢遊戲	jinqianyouxi
魅影	meiying
帛画	bohua
厭惡	yane
图像修复	tuxiangxiufu
武士生死鬥	wushishengsidou
艺术意志	yishuyizhi
瓷之源博物馆	cizhiyuanbowuguan
我们	women
反觀念主義	fanguannianzhuyi
数字黑暗时代	shuziheianshidai
南海血書	nanhaixueshu
古董局中局	gudongjuzhongju
紅色系列	hongsexilie
出道	chudao
悉尼歌剧院	xinigejuyuan
廢天使加百列	feitianshijiabailie
劍與魔法	jianyumofa
百人魂	bairenhun
娛樂	yule
绘画	huihua
反串	fanchuan
蒸气波	zhengqibo
活雕像	huodiaoxiang
國鐵色	guotiese
開源生態計畫	kaiyuanshengtaijihua
象人	xiangren
髮型列表	faxingliebiao
基格	jige
芬兰艺术奖	fenlanyishujiang
滑动变焦	huadongbianjiao
三表法	sanbiaofa
浪漫主義音樂	langmanzhuyiyinle
社會批判美學	shehuipipanmeixue
西西里晚禱	xixiliwandao
外貌歧視	waimaoqishi
幽靈單車	youlingdanche
私人攝影活動	sirensheyinghuodong
模切	moqie
音樂人聲分離	yinlerenshengfenli
未来主义文学	weilaizhuyiwenxue
巧手真心	qiaoshouzhenxin
美女	meinv
描金	miaojin
修飾照片	xiushizhaopian
透明口罩	toumingkouzhao
桃源春曉	taoyuanchunxiao
俠義少年王	xiayishaonianwang
木板画	mubanhua
女皇的後宮們	nvhuangdehougongmen
吾命騎士	wumingqishi
明暗对照法	minganduizhaofa
街头表演	jietoubiaoyan
正月調	zhengyuediao
防吐痰口罩	fangtutankouzhao
多用途刀	duoyongtudao
西潮	xichao
平均意见分数	pingjunyijianfenshu
聊齋圖說	liaozhaitushuo
吹簫引鳳	chuixiaoyinfeng
禁歌	jinge
雪莉	xueli
中国之抗战	zhongguozhikangzhan
謝曉峰	xiexiaofeng
精確主義	jingquezhuyi
床戏	chuangxi
高中女生	gaozhongnvsheng
立体主义	litizhuyi
緣分娃娃	yuanfenwawa
極簡主義	jijianzhuyi
武功歌	wugongge
排練號	pailianhao
英雄列传	yingxiongliechuan
达达主义	dadazhuyi
異邦人系列	yibangrenxilie
虎眼石	huyanshi
美国现代主义	meiguoxiandaizhuyi
手卷	shoujuan
身體藝術	shentiyishu
蜜桃女孩	mitaonvhai
淘氣辣妹安城	taoqilameiancheng
庭长夫人	tingzhangfuren
瑪麗皇后號	malihuanghouhao
手办	shouban
龍帥之翼	longshuaizhiyi
曝光补偿	puguangbuchang
假人挑戰	jiarentiaozhan
圓方陶瓷	yuanfangtaoci
阿富汗博物館	afuhanbowuguan
本質安全設計	benzhianquansheji
魔鬼聖徒	moguishengtu
文藝復興藝術	wenyifuxingyishu
曲牌	qupai
扛得住	kangdezhu
高蹈派	gaodaopai
畫謎	huami
瓷砖	cizhuan
史泰拉克	shitailake
低角度鏡頭	dijiaodujingtou
學院藝術	xueyuanyishu
仁村有志	rencunyouzhi
風	feng
貴族偵探系列	guizuzhentanxilie
视觉陷阱	shijuexianjing
震音	zhenyin
昨日的美食	zuoridemeishi
天地明環	tiandiminghuan
窥视秀	kuishixiu
冻苏秦	dongsuqin
弱弱老師	ruoruolaoshi
紙鶴	zhihe
北方文藝復興	beifangwenyifuxing
積讀	jidu
排档间饰	paidangjianshi
宋胤熹	songyinxi
麥田圈	maitianquan
文明	wenming
異世界漫步	yishijiemanbu
呢喃核	nenanhe
喧哗与骚动	xuanhuayusaodong
和声	hesheng
向量球	xiangliangqiu
自治同盟	zizhitongmeng
純情羅曼史	chunqingluomanshi
印度藝術	yinduyishu
棕叶饰	zongyeshi
打油詩	dayoushi
特殊效果	teshuxiaoguo
地狱边境	diyubianjing
东海渔歌	donghaiyuge
哈瓦那雙年展	hawanashuangnianzhan
獨立製作	dulizhizuo
古典主義建築	gudianzhuyijianzhu
宫河家的空腹	gonghejiadekongfu
香港中樂團	xianggangzhongletuan
背起爸爸上学	beiqibabashangxue
噴槍	penqiang
吶喊	nahan
迴旋鏢	huixuanbiao
愚者信長	yuzhexinzhang
