# 泰深输入法专业词库 — military
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
復員	fuyuan
沈伯洋	shenboyang
戰場	zhanchang
通報艦	tongbaojian
後勤學	houqinxue
鎮壓匪徒	zhenyafeitu
禁止蒙面規例	jinzhimengmianguili
敬礼乐	jinglile
费边战术	feibianzhanshu
萬川集海	wanchuanjihai
空中冲撞	kongzhongchongzhuang
步规	bugui
战马	zhanma
龍山基地	longshanjidi
凱撒戰記	kaisazhanji
光學迷彩	guangxuemicai
筩袖鎧	tongxiukai
战列线	zhanliexian
阻拦索	zulansuo
德雷福斯事件	deleifusishijian
佛伊泰克	fuyitaike
軍事戰略	junshizhanlve
铁道兵	tiedaobing
军人	junren
行轅	xingyuan
步人甲	burenjia
超视距雷达	chaoshijuleida
大韩统义府	dahantongyifu
波兰戒严	bolanjieyan
昆蟲武器	kunchongwuqi
通信兵	tongxinbing
突击工兵旅	tujigongbinglv
藍軍	lanjun
明光鎧	mingguangkai
自主導引	zizhudaoyin
軍事糾察	junshijiucha
莫爾萊戰役	moerlaizhanyi
世界大戰	shijiedazhan
軍事情報	junshiqingbao
主動式防禦	zhudongshifangyu
厉尔康	lierkang
武器	wuqi
車輪舟	chelunzhou
需品科	xupinke
芭芭雅嘎	babayaga
军号曲	junhaoqu
爆炸反应装甲	baozhafanyingzhuangjia
鱼雷炮舰	yuleipaojian
完成裝載部隊	wanchengzhuangzaibudui
奇迹武器	qijiwuqi
军用航空器	junyonghangkongqi
末日飞机	morifeiji
乌尼莫克	wunimoke
嫡系部隊	dixibudui
陆军	lujun
日本軍國主義	ribenjunguozhuyi
突击部队	tujibudui
东风猛士	dongfengmengshi
百戰奇略	baizhanqilve
半滚倒转	bangundaozhuan
有限戰爭	youxianzhanzheng
紅色戰爭計劃	hongsezhanzhengjihua
督戰隊	duzhandui
配給票	peigeipiao
