# 泰深输入法专业词库 — geography
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
旅游地理学	lvyoudilixue
岩石力學	yanshilixue
朝日溫泉	chaoriwenquan
村庄	cunzhuang
波羅的海異常	boluodehaiyichang
姚家组	yaojiazu
西斯科舍盆地	xisikeshependi
固溶体	gurongti
火山性地震	huoshanxingdizhen
伊朗板塊	yilangbankuai
車輪礦	chelunkuang
同斜脊	tongxieji
汉中天坑群	hanzhongtiankengqun
混杂堆积	hunzaduiji
火焰狀構造	huoyanzhuanggouzao
秦蕴珊	qinyunshan
東半球	dongbanqiu
人影之石	renyingzhishi
地理系统	dilixitong
拗拉槽	aolacao
蓝洞	landong
卡瑪卡瑪龍屬	kamakamalongshu
莎湖陆棚	shahulupeng
砷黃鐵礦	shenhuangtiekuang
條痕跡	tiaohenji
玄武安山岩	xuanwuanshanyan
斯托雷加滑坡	situoleijiahuapo
掸泰地体	dantaiditi
北美洲板塊	beimeizhoubankuai
锂辉石	lihuishi
勞斯數	laosishu
中国地理学会	zhongguodilixuehui
元古宙	yuanguzhou
前線	qianxian
典型地区	dianxingdiqu
巨石文化	jushiwenhua
喇家遗址	lajiayizhi
地形突起度	dixingtuqidu
散布區	sanbuqu
黃銻礦	huangtikuang
輝銅礦	huitongkuang
脫水收縮裂縫	tuoshuishousuoliefeng
带状发展	daizhuangfazhan
二连组	erlianzu
地球地壳	diqiudike
瑞岩溫泉	ruiyanwenquan
剪裂帶	jianliedai
龙井组	longjingzu
洞石	dongshi
热室	reshi
消融区	xiaorongqu
岩石	yanshi
印度火山列表	yinduhuoshanliebiao
里维拉板块	liweilabankuai
梅山溫泉	meishanwenquan
石油地质学	shiyoudizhixue
利吉溫泉	lijiwenquan
生命三角	shengmingsanjiao
走滑拉张	zouhualazhang
河流形态学	heliuxingtaixue
劳阶灭绝事件	laojiemiejueshijian
三叉汇接区	sanchahuijiequ
绿纤石	lvxianshi
呼图壁河组	hutubihezu
澱積層	dianjiceng
石灰華	shihuihua
巴列姆期	baliemuqi
斷裂帶	duanliedai
地形孤立度	dixinggulidu
板塊邊緣	bankuaibianyuan
密陀僧	mituoseng
普利茅斯岩	pulimaosiyan
阿穆尔板块	amuerbankuai
区域中心城市	quyuzhongxinchengshi
深海扇	shenhaishan
科马提岩	kematiyan
响岩	xiangyan
孔隙率	kongxilv
岩香腸	yanxiangchang
狭带纪	xiadaiji
基底滑动	jidihuadong
基质	jizhi
雪水当量	xueshuidangliang
隕石風化	yunshifenghua
滴道组	didaozu
埃迪卡拉纪	aidikalaji
瓜达洛普世	guadaluopushi
地磁偏角	dicipianjiao
國家地理學會	guojiadilixuehui
硼酸鹽礦物	pengsuanyankuangwu
北京异常	beijingyichang
岩芯樣本	yanxinyangben
板塊重建	bankuaizhongjian
宗教地理学	zongjiaodilixue
蛇紋岩	shewenyan
外核	waihe
褐錳礦	hemengkuang
永冻冰	yongdongbing
博維迪隕石	boweidiyunshi
沙河子组	shahezizu
结核	jiehe
环境承载力	huanjingchengzaili
组	zu
穿天石	chuantianshi
北安地斯板塊	beiandisibankuai
坎帕期	kanpaqi
铁方镁石	tiefangmeishi
地理哲學	dilizhexue
衛星城市	weixingchengshi
化学岩	huaxueyan
地球歷史	diqiulishi
达宁期	daningqi
苦榄岩	kulanyan
河流	heliu
任以安	renyian
碳酸滑石	tansuanhuashi
礦物	kuangwu
彩霞溫泉	caixiawenquan
木百靈板塊	mubailingbankuai
斑晶	banjing
隱沒帶	yinmeidai
疊瓦結構	diewajiegou
工業區位	gongyequwei
赤铁矿	chitiekuang
隕石	yunshi
人地关系论	rendiguanxilun
兵棋推演	bingqituiyan
缝合带	fenghedai
誘發地震	youfadizhen
震旦构造期	zhendangouzaoqi
四稜溫泉	silengwenquan
安山岩	anshanyan
希臘火山列表	xilahuoshanliebiao
薄皮變形	baopibianxing
沉積物	chenjiwu
碱玄岩	jianxuanyan
流状条带	liuzhuangtiaodai
南南合作	nannanhezuo
水锌矾	shuixinfan
犀牛石	xiniushi
石敢当	shigandang
球颗火成岩	qiukehuochengyan
年代地层学	niandaidicengxue
日常城市体系	richangchengshitixi
火山	huoshan
羅迪尼亞大陸	luodiniyadalu
异形晶	yixingjing
王子溪層	wangzixiceng
洪流玄武岩	hongliuxuanwuyan
內水	neishui
苗岭世	miaolingshi
早侏罗世	zaozhuluoshi
混合岩	hunheyan
晶体惯态	jingtiguantai
莱尔奖章	laierjiangzhang
巴尔顿期	baerdunqi
嘉士伯海岭	jiashibohailing
逆斷層	niduanceng
大地测量系统	dadiceliangxitong
冰	bing
包气带	baoqidai
西特洛康	xiteluokang
冰原岛峰	bingyuandaofeng
岩漠	yanmo
哈薩克大陸	hasakedalu
秋吉台	qiujitai
二叠纪	erdieji
黑林铺组	heilinpuzu
苏斯效应	susixiaoying
白云岩	baiyunyan
地理数量方法	dilishuliangfangfa
