# 泰深输入法专业词库 — agriculture
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
豆类	doulei
十星文明戶	shixingwenminghu
土地公	tudigong
经济植物学	jingjizhiwuxue
笳篱	jiali
煙草種植	yancaozhongzhi
耕织图	gengzhitu
人工鱼礁	rengongyujiao
纸浆用木材	zhijiangyongmucai
瑞士人民黨	ruishirenmindang
農舍	nongshe
閹馬	yanma
农场	nongchang
龙脊梯田	longjititian
椰子纖維	yezixianwei
岔路黑猪	chaluheizhu
防火建材	fanghuojiancai
放牧場	fangmuchang
颖壳	yingke
拉肯皇家溫室	lakenhuangjiawenshi
塞拉多	sailaduo
新田	xintian
农业气象学	nongyeqixiangxue
椰子核	yezihe
白色革命	baisegeming
灵渠	lingqu
水磨石	shuimoshi
放牧	fangmu
俞德浚	yudejun
梅斯塔荣誉会	meisitarongyuhui
小堀政一	xiaokuzhengyi
黃仕傑	huangshijie
玉米	yumi
農民黨	nongmindang
農業化學	nongyehuaxue
倒奶殺牛	daonaishaniu
鋼筋	gangjin
农贸市场	nongmaoshichang
風車	fengche
森林砍伐	senlinkanfa
甘蔗	ganzhe
農業地質學	nongyedizhixue
四道壁理論	sidaobililun
灵山	lingshan
二乙烯基砜	eryixijifeng
瀝青	liqing
社区农圃	shequnongpu
李根蟠	ligenpan
農業政策	nongyezhengce
膨脹螺絲	pengzhangluosi
柑橘颗粒	ganjukeli
灰泥	huini
養分污染	yangfenwuran
優秀花園獎	youxiuhuayuanjiang
庄园	zhuangyuan
村庄十年	cunzhuangshinian
倪文俊	niwenjun
森林	senlin
硫	liu
农业机械化	nongyejixiehua
魯固勞	lugulao
石声汉	shishenghan
棕榈石	zonglvshi
动物产品	dongwuchanpin
先正達	xianzhengda
不鏽鋼	buxiugang
非木材林產物	feimucailinchanwu
大羊駝	dayangtuo
廣群芳譜	guangqunfangpu
易開罐花卉	yikaiguanhuahui
超干燥贮藏	chaoganzaozhucang
广东绿道	guangdonglvdao
食品地理学	shipindilixue
莙薘菜	jundacai
能源作物	nengyuanzuowu
挽畜	wanchu
桔槔	jiegao
圈牢	quanlao
農民	nongmin
棉花屬	mianhuashu
小羊肖恩	xiaoyangxiaoen
豐年祭	fengnianji
天宝陂	tianbaobei
永久作物	yongjiuzuowu
農業協同組合	nongyexietongzuhe
植物生理障礙	zhiwushenglizhangai
粉饰灰泥	fenshihuini
卜烏散	bowusan
田之神	tianzhishen
粮食	liangshi
苏巴克	subake
玛西娅庄园	maxiyazhuangyuan
美国农业	meiguonongye
皇家园艺学会	huangjiayuanyixuehui
农村聚落	nongcunjuluo
农家	nongjia
宇迦之御魂神	yujiazhiyuhunshen
菊花	juhua
酷你酷你猪	kunikunizhu
巨型蜜蜂	juxingmifeng
在來米	zailaimi
建築垃圾	jianzhulaji
阳光路上	yangguanglushang
瓜地馬拉革命	guadimalageming
敞田制	changtianzhi
国民府	guominfu
锸	cha
斜倾岗梯田	xieqinggangtitian
岩粉	yanfen
梯田	titian
它山堰	tashanyan
朴索	pusuo
國營農場	guoyingnongchang
淤田	yutian
馬拉硫磷	malaliulin
苗床	miaochuang
以色列農業	yiselienongye
仙人掌花園	xianrenzhanghuayuan
雨水撲滿	yushuipuman
纖維素乙醇	xianweisuyichun
寮國農業	liaoguonongye
打捆机	dakunji
進步黨	jinbudang
反循環補貼	fanxunhuanbutie
欢乐农家	huanlenongjia
爸爸親像山	babaqinxiangshan
庫班大饑荒	kubandajihuang
欧洲摩弗伦羊	ouzhoumofulunyang
筒仓	tongcang
戽斗	hudou
黑土	heitu
集约化畜牧业	jiyuehuachumuye
布谷鸟叫迟了	buguniaojiaochile
樸門	pumen
农村贫困	nongcunpinkun
農村的遠見	nongcundeyuanjian
中国农学会	zhongguonongxuehui
生態農業	shengtainongye
栽培植物	zaipeizhiwu
奥兰中间党	aolanzhongjiandang
三圃制	sanpuzhi
植物生長燈	zhiwushengzhangdeng
