# 泰深输入法专业词库 — math
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
旋轉角度	xuanzhuanjiaodu
和集	heji
高维代数	gaoweidaishu
九九表	jiujiubiao
鷂形	yaoxing
错切	cuoqie
极限保持函数	jixianbaochihanshu
哈纳克定理	hanakedingli
赫尔默特转换	heermotezhuanhuan
零和博弈	lingheboyi
圆	yuan
阶乘进制	jiechengjinzhi
反正弦	fanzhengxian
幂平均	mipingjun
速算法	susuanfa
乘号	chenghao
触摸未来	chumoweilai
切割平面法	qiegepingmianfa
微分表示法	weifenbiaoshifa
时钟问题	shizhongwenti
半平面	banpingmian
公理	gongli
歐拉旋轉定理	oulaxuanzhuandingli
数独术语	shudushuyu
史特靈公式	shitelinggongshi
并运算	bingyunsuan
輾轉相除法	zhanzhuanxiangchufa
伯努利分布	bonulifenbu
朱程波	zhuchengbo
圓周	yuanzhou
秤球問題	chengqiuwenti
偽數學	weishuxue
托勒密全弦表	tuoleimiquanxianbiao
真因子和數列	zhenyinziheshulie
數學理論列表	shuxuelilunliebiao
下反对关系	xiafanduiguanxi
馬爾可夫方程	maerkefufangcheng
开映射定理	kaiyingshedingli
协变微商	xiebianweishang
余数	yushu
稀释	xishi
布靈根式	bulinggenshi
對稱多項式	duichengduoxiangshi
合作性競爭	hezuoxingjingzheng
泛函分析	fanhanfenxi
积分变换	jifenbianhuan
迹不等式	jibudengshi
阿帕斯檀跋	apasitanba
主方程式	zhufangchengshi
蟲食算	chongshisuan
径向集	jingxiangji
向量場	xiangliangchang
公地悲劇	gongdibeiju
佐恩引理	zuoenyinli
奇普	qipu
反德西特空間	fandexitekongjian
合数	heshu
半峰全宽	banfengquankuan
談情說案	tanqingshuoan
数学哲学	shuxuezhexue
公平分配博弈	gongpingfenpeiboyi
交替代数	jiaotidaishu
磨光法	moguangfa
死結	sijie
畴人传	chourenchuan
泛性质	fanxingzhi
命题	mingti
数学软件	shuxueruanjian
字元集	ziyuanji
图论	tulun
队列研究	duilieyanjiu
三面形	sanmianxing
乘积法则	chengjifaze
幻方常數	huanfangchangshu
截尾函數	jieweihanshu
對角論證法	duijiaolunzhengfa
配对函数	peiduihanshu
数学模型	shuxuemoxing
统计素养	tongjisuyang
初值定理	chuzhidingli
梭羅維模型	suoluoweimoxing
肯普普适定理	kenpupushidingli
可表函子	kebiaohanzi
幾乎所有	jihusuoyou
不變量	bubianliang
古埃及数学	guaijishuxue
相关	xiangguan
引理	yinli
无偏博弈	wupianboyi
非标准分析	feibiaozhunfenxi
树同构	shutonggou
卵形线	luanxingxian
黎曼曲面	limanqumian
贝叶斯博弈	beiyesiboyi
雷吉仕	leijishi
六次方數	liucifangshu
希帕蒂娅	xipadiya
證明完畢	zhengmingwanbi
树	shu
割圆术	geyuanshu
射流	sheliu
比强度	biqiangdu
五次函數	wucihanshu
陈类	chenlei
截面二次轴矩	jiemianercizhouju
初等數論	chudengshulun
數字形式	shuzixingshi
和算	hesuan
亏格	kuige
逆数学	nishuxue
康威常数	kangweichangshu
微磁学	weicixue
川崎定理	chuanqidingli
旅行者困境	lvxingzhekunjing
百分位数	baifenweishu
议价能力	yijianengli
算术研究	suanshuyanjiu
中心多邊形數	zhongxinduobianxingshu
狄利克雷定理	dilikeleidingli
伽罗瓦连接	galuowalianjie
整函数	zhenghanshu
正规	zhenggui
古氏积木	gushijimu
帕累托分析法	paleituofenxifa
