# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

不被抑制的胰岛素样活	bubeiyizhideyidaosuyanghuo
不裂干果	bulieganguo
不裂荚	buliejia
不规则减数分裂	buguizejianshufenlie
不规则分布	buguizefenbu
不规则显性	buguizexianxing
不规则牙本质	buguizeyabenzhi
不规则破裂	buguizepolie
不规则端基	buguizeduanji
不许可条件	buxuketiaojian
不转录间隔区	buzhuanlujiangequ
不连续变异	bulianxubianyi
不连续合成	bulianxuhecheng
不连续复制	bulianxufuzhi
不连续电泳	bulianxudianyong
不连续突变	bulianxutubian
不透明区	butoumingqu
不配对现象	bupeiduixianxiang
不随意肌	busuiyiji
不需氧氧化	buxuyangyanghua
不需氧氧化作用	buxuyangyanghuazuoyong
不需氧脱氢酶	buxuyangtuoqingmei
不饱和脂肪酸	bubaohezhifangsuan
与多形核白细胞的核连接	yuduoxinghebaixibaodehelianjie
与拮抗肌对立	yujiekangjiduili
与蜂毒肽相同	yufengdutaixiangtong
专一传输	zhuanyichuanshu
专一反应	zhuanyifanying
专一性	zhuanyixing
专一试剂	zhuanyishiji
专业机构康复	zhuanyejigoukangfu
专化性	zhuanhuaxing
专异花授粉	zhuanyihuashoufen
专性厌氧菌	zhuanxingyanyangjun
专性污水种类	zhuanxingwushuizhonglei
专性需氧	zhuanxingxuyang
专性需氧生物	zhuanxingxuyangshengwu
专性需氧菌	zhuanxingxuyangjun
专指溪水中的藻类与原生动物	zhuanzhixishuizhongdezaoleiyuyuanshengdongwu
专用于半翅目昆虫的翅	zhuanyongyubanchimukunchongdechi
世代交替	shidaijiaoti
世代时间	shidaishijian
丘月牙型	qiuyueyaxing
丘月齿型	qiuyuechixing
丘牙型	qiuyaxing
丘疱疹	qiupaozhen
丘疹坏死性结核疹	qiuzhenhuaisixingjiehezhen
丘疹形成	qiuzhenxingcheng
丘疹形成期	qiuzhenxingchengqi
丘疹性梅毒疹	qiuzhenxingmeiduzhen
丘疹性荨麻疹	qiuzhenxingxunmazhen
丘疹鳞屑性梅毒疹	qiuzhenlinxiexingmeiduzhen
丘系	qiuxi
丘系交叉	qiuxijiaocha
丘脊牙型	qiujiyaxing
丘脊齿型	qiujichixing
丘脑	qiunao
丘脑上部	qiunaoshangbu
丘脑下部	qiunaoxiabu
丘脑出血	qiunaochuxie
丘脑底部	qiunaodibu
丘脑枕	qiunaozhen
丘脑腹外侧核毁损术	qiunaofuwaicehehuisunshu
丘齿型	qiuchixing
丙三基	bingsanji
丙二酰	bingerxian
丙二酰基	bingerxianji
丙二酰脲	bingerxianniao
丙二酸	bingersuan
丙二酸丙醇二酸	bingersuanbingchunersuan
丙二酸半醛	bingersuanbanquan
丙二酸单酰	bingersuandanxian
丙二酸单酰基	bingersuandanxianji
丙二酸盐	bingersuanyan
丙二酸酐	bingersuangan
丙二醇	bingerchun
丙交酯	bingjiaozhi
丙咪嗪	bingmiqin
丙基	bingji
丙基六氢吡啶	bingjiliuqingbiding
丙基半胱氨酸	bingjibanguangansuan
丙基增效剂	bingjizengxiaoji
丙氨酰	binganxian
丙氨酰基	binganxianji
丙氨酰组氨酸	binganxianzuansuan
丙氨酸	bingansuan
丙氨酸丁氨酸硒醚	bingansuandingansuanximi
丙氨酸丁氨酸硫醚	bingansuandingansuanliumi
丙氨酸羧肽酶	bingansuansuotaimei
丙氨酸转氨酶	bingansuanzhuananmei
丙泮尼地	bingpannidi
丙炔基	bingqueji
丙烯化作用	bingxihuazuoyong
丙烯基	bingxiji
丙烯基乙基巴比妥酸	bingxijiyijibabituosuan
丙烯酮	bingxitong
丙烯酰基	bingxixianji
丙烯酰胺	bingxixianan
丙烯酰胺凝胶电泳	bingxixiananningjiaodianyong
丙烯酸树脂贴面	bingxisuanshuzhitiemian
丙烯酸酯基托	bingxisuanzhijituo
丙烯酸酯填塞	bingxisuanzhitiansai
丙烯酸酯夹板	bingxisuanzhijiaban
丙烯酸酯牙	bingxisuanzhiya
丙烯酸酯甲冠	bingxisuanzhijiaguan
丙烯酸酯磨钻	bingxisuanzhimozuan
丙烯酸酯类树脂	bingxisuanzhileishuzhi
丙烯醛树脂	bingxiquanshuzhi
丙烯醛类聚合物	bingxiquanleijuhewu
丙环定	binghuanding
丙磺酸	binghuangsuan
丙种球蛋白	bingzhongqiudanbai
丙糖	bingtang
