# 泰深输入法专业词库 — astronomy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
翼宿增六	yisuzengliu
贶神星	kuangshenxing
貫索九	guansuojiu
伽利略事件	galilveshijian
海洋卫星	haiyangweixing
騎官七	qiguanqi
蝴蝶星團	hudiexingtuan
御女二	yunver
尾宿增三	weisuzengsan
莫札特撞擊坑	mozhatezhuangjikeng
垒壁阵九	leibizhenjiu
右旗增七	youqizengqi
天大將軍八	tiandajiangjunba
七公增四	qigongzengsi
太空探索	taikongtansuo
毕宿增五	bisuzengwu
傳舍六	chuansheliu
右攝提增二	youshetizenger
撞擊事件	zhuangjishijian
航空航天	hangkonghangtian
云雨增二	yunyuzenger
洞穴星雲	dongxuexingyun
車府四	chefusi
天廪二	tianliner
孫二	suner
玉井增一	yujingzengyi
周鼎一	zhoudingyi
百年星舰	bainianxingjian
外廚增十四	waichuzengshisi
南船四	nanchuansi
天卫十一	tianweishiyi
杜鵑座矮星系	dujuanzuoaixingxi
上卫增一	shangweizengyi
弧矢增十五	hushizengshiwu
夏曆	xiali
地月系	diyuexi
参宿增九	cansuzengjiu
馬克士威山脈	makeshiweishanmai
房宿三	fangsusan
三角形三	sanjiaoxingsan
斗宿二	dousuer
斛增五	huzengwu
亥维赛陨击坑	haiweisaiyunjikeng
座旗增六	zuoqizengliu
提尼亞谷	tiniyagu
天津三	tianjinsan
行星飛越	xingxingfeiyue
玉夫座矮星系	yufuzuoaixingxi
潮汐激波	chaoxijibo
螣蛇增十一	teshezengshiyi
亮巨星	liangjuxing
公鸡座	gongjizuo
衡二	henger
庫樓九	kuloujiu
败臼增一	baijiuzengyi
凌日	lingri
赛珍珠撞击坑	saizhenzhuzhuangjikeng
梅西耶天體	meixiyetianti
大鑽石	dazuanshi
閃爍比對器	shanshuobiduiqi
土衛四十七	tuweisishiqi
蒲式耳	pushier
八穀增五	baguzengwu
天钩增十四	tiangouzengshisi
農丈人	nongzhangren
周翊	zhouyi
火星的衛星	huoxingdeweixing
恆神星	hengshenxing
韋士伐彗星	weishifahuixing
馬克士威	makeshiwei
紫色地球假說	zisediqiujiashuo
奧德修斯星	aodexiusixing
奎宿增一	kuisuzengyi
扶筐增四	fukuangzengsi
苏志陨击坑	suzhiyunjikeng
上弼	shangbi
王良增十二	wangliangzengshier
天街增四	tianjiezengsi
弧矢一	hushiyi
建二	jianer
中星儀	zhongxingyi
天船八	tianchuanba
英澳望遠鏡	yingaowangyuanjing
微流星體	weiliuxingti
伐增一	fazengyi
离宫增四	ligongzengsi
柱七	zhuqi
土卫五十八	tuweiwushiba
星际污染	xingjiwuran
天门增三	tianmenzengsan
海上发射公司	haishangfashegongsi
鉛星	qianxing
碼錶時間研究	mabiaoshijianyanjiu
爟增六	guanzengliu
復活節的計算	fuhuojiedejisuan
天仓增十六	tiancangzengshiliu
市樓六	shilouliu
牛宿增五	niusuzengwu
天園一	tianyuanyi
九斿增二	jiuyouzenger
天大將軍七	tiandajiangjunqi
米尼奧谷	miniaogu
天仓增四	tiancangzengsi
內階一	neijieyi
星宿增六	xingsuzengliu
異星災變	yixingzaibian
天鷹座	tianyingzuo
柱三	zhusan
快乐星球	kuailexingqiu
泣一	qiyi
內平二	neipinger
赶往火星	ganwanghuoxing
飛魚六	feiyuliu
三角形	sanjiaoxing
月球旋渦	yueqiuxuanwo
退耦	tuiou
迪亞爾低地	diyaerdidi
軍井四	junjingsi
木卫二十六	muweiershiliu
柳宿五	liusuwu
座旗增五	zuoqizengwu
柱二	zhuer
宗人一	zongrenyi
弧矢增十	hushizengshi
雷电增五	leidianzengwu
科林德目錄	kelindemulu
大數假說	dashujiashuo
开普勒定律	kaipuleidinglv
大陵增十五	dalingzengshiwu
地平緯圈	dipingweiquan
参宿增廿五	cansuzengnianwu
北落师门	beiluoshimen
外层空间条约	waicengkongjiantiaoyue
地球公转	diqiugongzhuan
西佛六重星系	xifuliuzhongxingxi
參旗增四	canqizengsi
斯托尼陨击坑	situoniyunjikeng
天仓增廿一	tiancangzengnianyi
磁层永坍缩体	cicengyongtansuoti
左旗增四	zuoqizengsi
凱撒撞擊坑	kaisazhuangjikeng
航天工业	hangtiangongye
天船二	tianchuaner
参宿增廿二	cansuzengnianer
中央分子区	zhongyangfenziqu
鍀星	dexing
参宿增八	cansuzengba
驯鹿座	xunluzuo
製圖衛星	zhituweixing
人马座流星雨	renmazuoliuxingyu
奎宿八	kuisuba
太阳物理学	taiyangwulixue
歐姆	oumu
馬亞爾的天體	mayaerdetianti
天地明察	tiandimingcha
天鉤三	tiangousan
張宿五	zhangsuwu
卫星系	weixingxi
蒭藁五	chugaowu
丹皮尔陨击坑	danpieryunjikeng
諸王四	zhuwangsi
天船一	tianchuanyi
安培山	anpeishan
慕格湖	mugehu
太陽望遠鏡	taiyangwangyuanjing
天田二	tiantianer
阴阳历	yinyangli
阿方索十世	afangsuoshishi
法國天文學會	faguotianwenxuehui
卷舌三	juanshesan
銀冕	yinmian
星座恒星列表	xingzuohengxingliebiao
紫式部撞擊坑	zishibuzhuangjikeng
鯨魚座矮星系	jingyuzuoaixingxi
风月	fengyue
快速電波爆發	kuaisudianbobaofa
武仙座	wuxianzuo
奧蓋爾隕石	aogaieryunshi
从官	congguan
天龙座	tianlongzuo
波斯七	bosiqi
宋增二	songzenger
天狼星	tianlangxing
史隆長城	shilongzhangcheng
鬼宿一	guisuyi
危宿增十一	weisuzengshiyi
太空實驗室	taikongshiyanshi
窮理查的年鑑	qionglichadenianjian
达雷彗星	daleihuixing
达尔文陨击坑	daerwenyunjikeng
時	shi
参宿增廿一	cansuzengnianyi
青丘七	qingqiuqi
