# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
輻射壓	fusheya
封閉系統	fengbixitong
玻尔模型	boermoxing
涡度拟能	wodunineng
心理物理学	xinliwulixue
四維加速度	siweijiasudu
計重秤	jizhongcheng
論法拉第力線	lunfaladilixian
剪切稀化	jianqiexihua
一方通行	yifangtongxing
吸附原子	xifuyuanzi
安托万方程	antuowanfangcheng
子夜	ziye
维里系数	weilixishu
離軸光學系統	lizhouguangxuexitong
农历八月	nonglibayue
歐姆接觸	oumujiechu
中午	zhongwu
生活大爆炸	shenghuodabaozha
中国物理快报	zhongguowulikuaibao
阿特伍德機	atewudeji
近地点	jindidian
相对论性喷流	xiangduilunxingpenliu
驻极体	zhujiti
相變	xiangbian
农历九月	nonglijiuyue
熱泳	reyong
靜態定位	jingtaidingwei
大暑	dashu
无毛定理	wumaodingli
高熵合金	gaoshanghejin
温度	wendu
超光速	chaoguangsu
退磁	tuici
電位移	dianweiyi
熵	shang
物理对象	wuliduixiang
比角动量	bijiaodongliang
晶体学	jingtixue
光学	guangxue
天文常數	tianwenchangshu
汽化热	qihuare
物理学史	wulixueshi
相对论速度	xiangduilunsudu
靜伏特	jingfute
熱量表	reliangbiao
毫米水柱	haomishuizhu
磁冻结效应	cidongjiexiaoying
回燃	huiran
热力学极限	relixuejixian
機率幅	jilvfu
潤德勒座標	rundeleizuobiao
不稳定性	buwendingxing
光谱能量分布	guangpunengliangfenbu
令	ling
加速子	jiasuzi
新物理狂想曲	xinwulikuangxiangqu
廷得耳效應	tingdeerxiaoying
激波	jibo
平場校正	pingchangxiaozheng
有效应力原理	youxiaoyingliyuanli
鐵磁超導體	tiecichaodaoti
靶恩	baen
布里奇曼效应	buliqimanxiaoying
哈密頓系統	hamidunxitong
拉曼效应	lamanxiaoying
虫洞	chongdong
狀態原則	zhuangtaiyuanze
超對稱粒子	chaoduichenglizi
电磁波	diancibo
悬键	xuanjian
亚铁磁性	yatiecixing
極子	jizi
理想溶液	lixiangrongye
光子分子	guangzifenzi
成對產生	chengduichansheng
中国力学学会	zhongguolixuexuehui
压缩性	yasuoxing
電永磁	dianyongci
低能电子衍射	dinengdianziyanshe
國家獎	guojiajiang
回聲	huisheng
布里渊区	buliyuanqu
阿特金森循环	atejinsenxunhuan
旋光	xuanguang
高速光度計	gaosuguangduji
波前速度	boqiansudu
光子学	guangzixue
易辛模型	yixinmoxing
斯特林制冷器	sitelinzhilengqi
電漿層	dianjiangceng
扫描线渲染	saomiaoxianxuanran
壓電效應	yadianxiaoying
高度	gaodu
胸線	xiongxian
物理性质	wulixingzhi
世界计量日	shijiejiliangri
底數	dishu
磁饱和	cibaohe
耗散系統	haosanxitong
功率密度	gonglvmidu
穿越辐射	chuanyuefushe
靜電驗電器	jingdianyandianqi
光學桌	guangxuezhuo
光學場	guangxuechang
热力学温标	relixuewenbiao
格子气自动机	geziqizidongji
图科斯基方程	tukesijifangcheng
阿罗特图	aluotetu
电子云	dianziyun
秒摆	miaobai
氣體環	qitihuan
声镊	shengnie
霍爾效應	huoerxiaoying
新试验	xinshiyan
抽象对象理论	chouxiangduixianglilun
不可行定理	bukexingdingli
电子偶素	dianziousu
离子源	liziyuan
哥本哈根	gebenhagen
辐射功率	fushegonglv
能量守恒定律	nengliangshouhengdinglv
粒子物理學	liziwulixue
应用物理学	yingyongwulixue
分子力学	fenzilixue
安培	anpei
時間問題	shijianwenti
索尔维会议	suoerweihuiyi
張量	zhangliang
卡诺循环	kanuoxunhuan
普朗克質量	pulangkezhiliang
輻照度	fuzhaodu
平均自由程	pingjunziyoucheng
算子積展開	suanzijizhankai
分裂超对称	fenliechaoduicheng
表面物理学	biaomianwulixue
巨磁阻效应	jucizuxiaoying
白洞热力学	baidongrelixue
文氏管	wenshiguan
对应原理	duiyingyuanli
密耳	mier
光锥	guangzhui
化学发光	huaxuefaguang
電子對	dianzidui
虛粒子	xulizi
黑洞列表	heidongliebiao
波茲曼熵公式	bozimanshanggongshi
差分信号	chafenxinhao
粒子列表	liziliebiao
磁扩散效应	cikuosanxiaoying
犁	li
远地点	yuandidian
無限深方形阱	wuxianshenfangxingjing
能带理论	nengdaililun
视线传播	shixianchuanbo
次表面散射	cibiaomiansanshe
高丽尺	gaolichi
剪力	jianli
配分函数	peifenhanshu
顾敏	gumin
低頻	dipin
主方程式	zhufangchengshi
经典场论	jingdianchanglun
電子對湮滅	dianziduiyanmie
阿弗沙爾實驗	afushaershiyan
毫克	haoke
王水	wangshui
能隙	nengxi
太米	taimi
物理宇宙学	wuliyuzhouxue
神視角	shenshijiao
回復效應	huifuxiaoying
伦敦物理学会	lundunwulixuehui
磁場	cichang
电磁感应透明	dianciganyingtouming
受激发射	shoujifashe
量子自旋液体	liangzizixuanyeti
